id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
C200805020551A,2008-05-02T05:51:27,-72.65,-42.93,17.4,4.9,Mw,206.0,77.0,-177.0,115.0,87.0,-13.0,7.0,161.0,77.0,281.0,12.0,70.0,-3.55e+16,8.82e+16,-5.28e+16,-1.85e+16,1500000000000000.0,5.590000000000001e+16,GCMT,,intra_arc_shallow
C200805030236A,2008-05-03T02:36:12,-72.25,-42.78,10.0,5.0,Mw,280.0,52.0,-31.0,31.0,66.0,-137.0,9.0,153.0,42.0,55.0,47.0,252.0,,,,,,,GCMT,,intra_arc_shallow
C200805240243A,2008-05-24T02:43:42,-72.46,-42.17,12.0,5.3,Mw,84.0,57.0,-11.0,180.0,81.0,-146.0,16.0,308.0,55.0,193.0,30.0,48.0,-6.999999999999999e+16,4500000000000000.0,6.55e+16,3.03e+16,8.34e+16,1.57e+17,GCMT,,intra_arc_shallow
C200903111306A,2009-03-11T13:06:56,-69.29,-31.98,36.8,5.5,Mw,190.0,44.0,109.0,344.0,49.0,72.0,76.0,186.0,13.0,356.0,2.0,87.0,1.03e+17,1.97e+16,-1.23e+17,-2.14e+16,8000000000000000.0,7800000000000000.0,GCMT,NEIC:11799078,intra_arc_shallow
C200904281529A,2009-04-28T15:29:30,-76.28,-48.48,17.5,5.2,Mw,7.0,20.0,97.0,180.0,70.0,88.0,65.0,86.0,2.0,181.0,25.0,272.0,3.19e+16,1.25e+16,-4.43e+16,190000000000000.0,-4.55e+16,-2570000000000000.0,GCMT,,intra_arc_shallow
C201003020209A,2010-03-02T02:09:37,-71.47,-39.86,15.6,5.3,Mw,176.0,65.0,-168.0,80.0,79.0,-25.0,9.0,130.0,62.0,238.0,26.0,36.0,470000000000000.0,-1.52e+16,1.47e+16,-3.2e+16,1.53e+16,5.28e+16,GCMT,,intra_arc_shallow
C201003171738A,2010-03-17T17:38:37,-73.03,-44.36,12.0,5.4,Mw,191.0,68.0,-178.0,100.0,88.0,-22.0,14.0,148.0,68.0,276.0,17.0,54.0,-9300000000000000.0,6.34e+16,-5.41e+16,-6.19e+16,1.26e+16,1.47e+17,GCMT,OTHER:201003171738A;OTHER:201003180932A,intra_arc_shallow
C201003180932A,2010-03-18T09:32:21,-72.83,-44.18,4.4,5.2,Mw,186.0,72.0,171.0,279.0,81.0,18.0,19.0,144.0,70.0,303.0,6.0,51.0,,,,,,,GCMT,,intra_arc_shallow
C201008150750A,2010-08-15T07:50:41,-71.47,-37.09,16.2,5.5,Mw,290.0,58.0,-9.0,25.0,82.0,-148.0,16.0,153.0,57.0,37.0,28.0,252.0,-1.84e+16,6.08e+16,-4.24e+16,-1.49e+16,-4.18e+16,5.540000000000001e+16,GCMT,,intra_arc_shallow
pde20110214121830300_35,2011-02-14T12:18:25,-71.54,-35.65,12.8,5.2,mwc,211.0,21.0,-33.0,331.0,79.0,-108.0,32.0,76.0,17.0,335.0,53.0,221.0,-2.81e+16,-1.74e+16,4.54e+16,3.79e+16,-6.42e+16,-1600000000000000.0,USGS,,intra_arc_shallow
pde20110221053851050_36,2011-02-21T05:38:50,-72.55,-46.02,17.6,5.0,mwc,271.0,32.0,-20.0,18.0,79.0,-121.0,28.0,132.0,30.0,24.0,47.0,256.0,-1.51e+16,1.94e+16,-4400000000000000.0,900000000000000.0,-3.72e+16,1.59e+16,USGS,,intra_arc_shallow
pde20110604162847680_9,2011-06-04T16:28:48,-72.22,-40.59,21.2,5.0,mwc,162.0,64.0,-165.0,65.0,77.0,-27.0,8.0,116.0,60.0,221.0,28.0,21.0,-1.19e+16,-1.95e+16,3.14e+16,-1.67e+16,-1300000000000000.0,2.84e+16,USGS,,intra_arc_shallow
C201206070405A,2012-06-07T04:05:10,-70.97,-36.23,16.8,6.0,Mw,2.0,69.0,-173.0,269.0,84.0,-21.0,10.0,317.0,68.0,73.0,19.0,224.0,-2.67e+17,1.78e+17,8.9e+16,3.92e+17,-1.6e+16,1.15e+18,GCMT,USGS:pde20120607040504520_8;NEIC:604029413,intra_arc_shallow
C201403272350A,2014-03-27T23:51:00,-68.74,-29.31,27.5,5.7,Mw,185.0,63.0,177.0,277.0,87.0,28.0,21.0,144.0,62.0,282.0,17.0,48.0,8.72e+16,1.86e+16,-1.06e+17,-1.8e+17,6.59e+16,3.69e+17,GCMT,NEIC:604400792;USGS:c000nu2x,intra_arc_shallow
C201503131916A,2015-03-13T19:16:08,-73.51,-44.79,25.4,5.0,Mw,99.0,61.0,4.0,7.0,86.0,151.0,23.0,320.0,61.0,180.0,17.0,57.0,-2270000000000000.0,8810000000000000.0,-6540000000000000.0,8580000000000000.0,1.6200000000000002e+16,2.93e+16,GCMT,,intra_arc_shallow
C201508011130A,2015-08-01T11:30:26,-68.44,-29.93,22.9,5.2,Mw,166.0,29.0,102.0,332.0,61.0,83.0,73.0,226.0,6.0,335.0,16.0,67.0,6.04e+16,-1.03e+16,-5.01e+16,-2.14e+16,3.06e+16,1.72e+16,GCMT,USGS:10002x3v;NEIC:610636429,intra_arc_shallow
609824367,2016-12-05T07:33:19,-75.3081,-47.1545,35.0,4.7,Mw,39.65,87.38,-130.6,306.59,40.67,-4.03,30.0,162.0,41.0,42.0,35.0,276.0,-87000000.0,961000000.0,-873000000.0,-610000000.0,-915000000.0,182000000.0,NEIC,,intra_arc_shallow
C201702030052A,2017-02-03T00:52:31,-69.51,-33.07,19.5,5.4,Mw,138.0,46.0,-15.0,238.0,79.0,-135.0,21.0,0.0,44.0,248.0,38.0,108.0,-5.38e+16,1.57e+17,-1.04e+17,9.63e+16,5.16e+16,-2.22e+16,GCMT,USGS:20008h9r;NEIC:611831721,intra_arc_shallow
C201706252208A,2017-06-25T22:08:43,-71.66,-42.09,12.0,4.9,Mw,172.0,17.0,118.0,322.0,75.0,82.0,59.0,221.0,8.0,324.0,30.0,59.0,3.63e+16,-5470000000000000.0,-3.08e+16,-4.04e+16,4.65e+16,1.14e+16,GCMT,NEIC:611189156,intra_arc_shallow
611607492,2017-12-22T08:44:36,-68.9477,-33.3531,27.7,4.3,Mw,149.32,34.94,69.69,353.62,57.51,103.63,74.0,300.0,11.0,166.0,12.0,74.0,275500000.0,-15800000.0,-259700000.0,24600000.0,132500000.0,91900000.0,NEIC,,intra_arc_shallow
611803699,2018-03-22T04:30:51,-68.9298,-32.0026,24.7,4.3,Mw,7.44,75.39,-152.32,269.9,63.28,-16.41,8.0,137.0,59.0,33.0,30.0,231.0,-66100000.0,69300000.0,-3200000.0,60300000.0,-142100000.0,272900000.0,NEIC,,intra_arc_shallow
C201910280355A,2019-10-28T03:55:14,-68.97,-30.25,39.0,5.0,Mw,59.0,39.0,145.0,178.0,69.0,57.0,54.0,47.0,31.0,191.0,17.0,292.0,2.82e+16,-1820000000000000.0,-2.64e+16,1.46e+16,-3.07e+16,-2.28e+16,GCMT,USGS:600063ts;NEIC:616738783,intra_arc_shallow
C202008151111A,2020-08-15T11:12:00,-70.14,-33.2,12.0,4.9,Mw,234.0,72.0,-172.0,141.0,82.0,-18.0,7.0,189.0,71.0,298.0,18.0,97.0,8450000000000000.0,2.23e+16,-3.08e+16,490000000000000.0,1.47e+16,-6530000000000000.0,GCMT,NEIC:618727595,intra_arc_shallow
C202101190246A,2021-01-19T02:46:26,-68.86,-31.85,25.8,6.4,Mw,223.0,61.0,164.0,321.0,76.0,30.0,30.0,186.0,58.0,344.0,10.0,90.0,2.1600000000000005e+18,4.99e+18,-7.15e+18,-2.34e+18,1.65e+18,-3.35e+17,GCMT,GFZ:619721854;USGS:7000d18q,intra_arc_shallow
619782191,2021-01-31T23:20:49,-68.9337,-31.7493,17.3,4.7,Mw,46.17,66.58,178.47,136.78,88.6,23.42,17.0,4.0,67.0,140.0,15.0,269.0,-107000000.0,1373000000.0,-1266000000.0,491000000.0,-333000000.0,-89000000.0,NEIC,,intra_arc_shallow
619831765,2021-02-11T14:01:29,-71.9266,-39.8336,10.0,4.8,Mw,149.12,87.95,179.25,239.15,89.25,2.05,1.98,104.15,87.82,259.12,0.92,14.12,-687999999.9999999,-1642000000.0,2330000000.0,-47000000.0,-105000000.0,1069000000.0,GFZ,,intra_arc_shallow
619876907,2021-03-01T01:34:45,-72.8011,-45.9319,4.5,4.2,Mw,142.24,55.71,105.02,296.77,37.06,69.18,74.0,95.0,12.0,314.0,10.0,222.0,219800000.0,-131700000.0,-88100000.0,19900000.0,-91000000.0,102700000.0,NEIC,,intra_arc_shallow
620734171,2021-06-23T23:20:38,-69.112,-32.887,19.0,4.6,Mw,2.21,75.26,123.89,112.96,36.6,25.26,48.0,309.0,33.0,173.0,23.0,67.0,402800000.0,77700000.0,-480500000.0,123400000.0,708200000.0,529400000.0,NEIC,,intra_arc_shallow
624494647,2022-06-21T08:09:59,-69.3314,-28.0501,20.0,4.8,Mw,106.23,77.43,-13.23,199.16,77.1,-167.1,0.0,153.0,72.0,243.0,18.0,63.0,-222000000.0,1165000000.0,-943000000.0,-258000000.0,482000000.0,1483000000.0,NEIC,,intra_arc_shallow
626531426,2023-07-24T08:24:06,-70.4054,-34.0678,5.0,4.3,Mw,102.94,32.1,84.88,288.97,58.05,93.2,77.0,209.0,3.0,107.0,13.0,17.0,297800000.0,-268800000.0,-29100000.0,-132600000.0,56500000.0,74300000.0,NEIC,,intra_arc_shallow
C202411081137A,2024-11-08T11:38:07,-75.63,-46.72,12.0,6.3,Mw,10.0,28.0,87.0,193.0,62.0,92.0,73.0,107.0,1.0,13.0,17.0,282.0,3.09e+18,5.9e+16,-3.15e+18,-5.28e+17,-2.04e+18,-6.94e+17,GCMT,OTHER:202411081137A,intra_arc_shallow
