id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B041694D,1994-04-16T09:55:26,-71.84,-32.23,31.3,5.0,mw,10.0,26.0,108.0,171.0,65.0,81.0,69.0,64.0,8.0,174.0,19.0,267.0,2.35e+17,0.0,-2.35e+17,5.12e+16,-1.875e+17,-3700000000000000.0,gcmt,gmt:041694D,subduction_interface
B091794D,1994-09-17T12:22:20,-72.01,-32.48,18.8,5.3,mw,11.0,26.0,83.0,199.0,64.0,93.0,71.0,117.0,3.0,18.0,19.0,287.0,2.933e+17,5500000000000000.0,-2.988e+17,-8.63e+16,-2.241e+17,-9.24e+16,gcmt,gmt:091794D,subduction_interface
B092294C,1994-09-22T14:24:38,-71.9,-32.07,27.0,5.1,mw,61.0,36.0,21.0,314.0,78.0,124.0,46.0,259.0,33.0,126.0,25.0,18.0,6.07e+16,-1.331e+17,7.24e+16,-8.95e+16,1.0169999999999998e+17,3.31e+16,gcmt,gmt:092294C,subduction_interface
C110195A,1995-11-01T00:35:40,-71.68,-29.11,22.0,6.4,mw,6.0,25.0,111.0,163.0,67.0,80.0,67.0,56.0,9.0,167.0,21.0,260.0,7.87e+18,8.3e+17,-8.699999999999999e+18,2.831e+18,-7.203e+18,1.021e+18,gcmt,neic:66512,subduction_interface
B112195D,1995-11-21T18:17:09,-72.3,-33.33,16.2,5.3,mw,355.0,20.0,84.0,181.0,71.0,92.0,64.0,95.0,2.0,1.0,26.0,270.0,2.851e+17,-1.14e+16,-2.737e+17,-1.4199999999999998e+16,-3.457e+17,9700000000000000.0,gcmt,gmt:112195D,subduction_interface
B113095B,1995-11-30T13:15:44,-71.48,-27.93,15.0,5.4,mw,12.0,21.0,109.0,171.0,70.0,83.0,64.0,69.0,7.0,174.0,25.0,267.0,2.968e+17,1.62e+16,-3.131e+17,7.45e+16,-3.561e+17,-7199999999999999.0,gcmt,neic:72559,subduction_interface
C070697A,1997-07-06T09:54:09,-72.21,-30.22,15.0,6.5,mw,0.0,21.0,92.0,178.0,69.0,89.0,66.0,86.0,1.0,178.0,24.0,269.0,1.315e+19,-8.8e+17,-1.227e+19,6.5e+17,-1.448e+19,1.7e+17,gcmt,us:pde19970706095400760_19;neic:1035633;gmt:070697A,subduction_interface
B070697D,1997-07-06T23:15:23,-72.46,-30.26,15.0,5.2,mw,352.0,24.0,80.0,183.0,66.0,95.0,69.0,102.0,4.0,1.0,21.0,269.0,3.727e+17,2.25e+16,-3.952e+17,-3.22e+16,-3.46e+17,1.85e+16,gcmt,gmt:070697D,subduction_interface
C072597A,1997-07-25T06:47:06,-72.37,-30.54,15.0,5.5,mw,345.0,26.0,78.0,178.0,65.0,96.0,70.0,100.0,5.0,356.0,20.0,264.0,1.158e+18,-8e+16,-1.079e+18,-4.5e+16,-9.27e+17,1.53e+17,gcmt,neic:1038555;gmt:072597A,subduction_interface
C072597B,1997-07-25T07:33:37,-72.3,-30.69,15.0,5.1,mw,358.0,25.0,79.0,191.0,66.0,95.0,69.0,111.0,5.0,8.0,20.0,277.0,1.088e+18,-7.9e+16,-1.01e+18,-2.3e+17,-8.91e+17,-6.2e+16,gcmt,gmt:072597B,subduction_interface
