ID,Lat,Lon,Depth_km,Mw,Strike_1,Dip_1,Rake_1,P_trend,P_plunge,T_trend,T_plunge,Strike_2,Dip_2,Rake_2,Strike_2_c,Dip_2_cal,Rake_2_cal,Slab1,Depth2Slab
051987B,-30.71,-72.07,23,6.1,355,32,88,266,13,91,77,177,58,91,177,58,91,-16.84453583,-6.155
052188B,-32.92,-71.57,15,6.1,64,4,159,269,43,81,46,175,89,87,175,89,86,-36.37654495,21.377
052292A,-33.84,-72.42,34,5.5,0,21,92,268,24,87,66,178,69,89,178,69,89,-16.33991623,-17.66
052299A,-36.56,-70.57,164,5.3,204,12,-65,262,56,93,34,359,80,-95,359,79,-95,-129.7821198,-34.218
052302B,-30.91,-71.76,50,5.9,358,35,89,269,10,92,80,179,55,91,179,55,91,-26.11194038,-23.888
052402A,-32.17,-71.52,57,5.5,9,40,107,267,6,26,78,167,52,76,167,52,76,-38.02668762,-18.973
052584B,-43.14,-75.86,10,5.4,185,27,-98,293,71,101,18,14,63,-86,14,63,-86,,
052703D,-31.32,-68.7,128,5.5,223,37,-75,256,77,122,9,25,54,-101,24,54,-101,-94.48329163,-33.517
053076A,-42.06,-75.94,15,6.1,187,44,-101,4,82,105,2,23,47,-79,22,47,-80,,
060104D,-32.23,-68.23,38,5,347,39,112,241,8,1,74,140,54,73,140,54,73,-108.4382095,70.438
060182A,-41.69,-75.87,10,6.4,160,33,-130,331,63,98,17,25,65,-67,25,65,-67,,
060193C,-46,-77.64,15,5.9,172,73,16,125,1,34,23,77,75,162,77,75,162,,
060203A,-33.08,-72.4,28,5.5,9,25,92,277,20,95,70,187,65,89,187,65,89,-13.08347893,-14.917
060285B,-37.83,-73.76,32,5.8,347,24,47,289,26,146,59,212,73,107,213,73,107,-22.45554733,-9.544
060295B,-31.72,-71.64,92,5.5,166,14,-73,233,58,62,32,328,76,-94,329,77,-94,-31.55155373,-60.448
060384A,-45.29,-76.55,10,5.4,320,61,-161,177,33,272,8,221,73,-30,221,73,-30,,
060391B,-40.77,-75.75,15,5.6,345,46,-146,187,51,292,12,229,66,-49,230,66,-49,,
060481A,-34.76,-78.12,26,5.1,207,42,-41,193,57,84,12,330,64,-124,330,64,-124,,
060582A,-43.44,-76.07,23,5.3,191,29,-87,273,74,99,16,8,61,-91,8,61,-92,,
060698B,-36.56,-73.2,15,5.2,341,12,65,272,34,103,56,186,79,95,186,79,95,-29.3792038,14.379
060798B,-31.48,-67.77,125,5.9,148,54,-145,358,48,94,5,36,62,-42,36,62,-42,-96.65599823,-28.344
060893F,-31.62,-69.13,124,6.3,40,41,-95,172,85,314,4,226,49,-86,227,49,-86,-100.0712433,-23.929
060985B,-33.76,-71.68,36,5.2,347,26,97,252,19,62,71,159,64,86,159,64,87,-34.91889572,-1.081
060997C,-32.08,-71.83,67,5.1,266,39,-9,239,38,123,29,3,85,-129,3,84,-129,-25.03020668,-41.97
061180C,-33.03,-71.93,20,5.8,1,26,87,273,19,98,71,184,64,91,184,64,91,-23.16619301,3.166
061184A,-31.25,-71.9,44,6.2,357,36,94,264,9,69,81,171,54,87,172,54,87,-21.947155,-22.053
061185A,-32.57,-72,34,5.5,14,28,103,274,18,74,71,180,63,83,179,63,83,-21.11735344,-12.883
061485A,-40.74,-74.92,10,5.4,223,48,-62,205,70,114,1,4,49,-117,5,49,-118,-9.22013855,-0.78
061504B,-38.96,-73.62,33,5.9,172,52,150,44,9,143,46,281,67,42,282,67,42,-31.34110069,-1.659
061600B,-33.95,-69.92,109,6.4,219,33,-67,249,71,112,14,11,60,-105,12,60,-104,-107.2326431,-1.767
061694B,-32.99,-71.96,36,5.1,10,22,112,263,24,62,64,166,70,81,166,70,81,-23.06600189,-12.934
061789A,-41.1,-75.21,15,5.6,247,34,-28,236,51,114,24,1,75,-121,1,75,-121,-6.991753578,-8.008
061802C,-31.04,-71.63,57,6.4,353,29,96,259,16,68,74,166,61,87,166,61,87,-30.2525692,-26.747
061903D,-30.89,-72.14,27,5.6,2,26,98,266,19,75,70,173,64,86,173,64,86,-14.98384094,-12.016
061997F,-33.15,-70.19,116,5.3,150,24,-137,314,57,95,27,20,74,-72,20,74,-72,-89.06097412,-26.939
062003C,-45.72,-77.06,15,5.3,172,36,-70,199,74,68,10,327,56,-104,328,56,-104,,
062003G,-30.88,-71.97,35,,1,27,93,269,18,84,72,177,63,88,178,63,88,-19.7918663,-15.208
062302A,-31.49,-71.54,91,5.2,334,42,-113,152,74,260,5,184,52,-71,184,52,-71,-35.36721802,-55.633
062701C,-31.88,-72.41,42,4.9,158,46,67,84,1,350,74,9,48,112,9,49,112,-11.94115162,-30.059
070195B,-34.14,-72.84,30,5.2,7,24,108,263,22,63,67,168,67,82,167,67,82,-11.1923151,-18.808
070202D,-31.43,-68.19,27,5.5,156,40,15,115,25,1,41,54,81,129,54,80,129,-94.48776245,67.488
070497E,-45.63,-76.92,15,5.2,264,90,-180,129,0,39,0,354,90,0,174,90,0,,
070585B,-33.59,-72.43,30,5.5,348,22,70,273,24,113,65,190,69,98,189,69,98,-13.91917801,-16.081
070679A,-32.38,-71.63,49,5.7,166,39,70,90,8,330,75,11,54,105,11,54,105,-32.19896317,-16.801
070685B,-33.6,-72.5,21,5.5,356,27,79,274,18,110,71,189,63,96,188,64,96,-13.07631302,-7.924
070697A,-30.22,-72.21,15,,0,21,92,268,24,87,66,178,69,89,178,69,89,-12.89897728,-2.101
070697D,-30.26,-72.46,15,5.7,352,24,80,270,21,101,68,183,66,95,183,66,94,-9.344109535,-5.656
070785B,-33.02,-72.38,25,6,0,21,96,265,24,80,66,174,69,88,174,69,88,-12.89876461,-12.101
071185B,-32.93,-72.32,30,5.5,2,28,90,272,17,92,73,182,62,90,182,62,90,-14.64522266,-15.355
071380A,-33.47,-70.49,113,5.7,102,14,178,297,43,90,44,195,89,76,194,90,76,-81.1703186,-31.83
071693C,-33.32,-72.56,19,5.6,7,18,111,260,28,65,61,164,73,83,165,73,83,-11.20497894,-7.795
071785B,-32.71,-72.07,31,5.5,15,27,115,266,20,55,67,168,66,78,167,66,78,-19.9482708,-11.052
071793A,-30.03,-71.58,67,5.7,342,10,46,290,37,124,52,207,83,97,206,83,97,-28.76737976,-38.233
071802D,-44.72,-79.75,15,5.2,246,34,42,190,19,66,58,119,68,117,119,68,117,,
072197H,-30.72,-71.79,15,5.9,29,27,123,275,21,57,64,173,67,74,173,68,74,-23.89817429,8.898
072297A,-30.71,-72.38,15,5.4,14,21,59,308,26,153,61,227,72,101,227,72,101,-10.46214771,-4.538
072401E,-33.22,-72.17,52,5.2,334,40,87,246,5,87,85,158,50,93,158,50,93,-18.3850708,-33.615
072497A,-30.63,-72.63,15,5.7,0,31,91,269,14,87,76,179,59,89,179,59,89,,
072597A,-30.54,-72.37,15,6,345,26,78,264,19,100,70,178,65,96,178,65,96,-10.98325634,-4.017
