id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
7000efb4,1970-01-01T00:00:00,0.0,0.0,80.0,4.9,mwr,359.63,35.0,-88.18,177.4,55.02,-91.28,10.0,268.0,1.0,178.0,80.0,82.0,-2.7689e+16,-1660000000000000.0,2.9349e+16,-813000000000000.0,1.0378e+16,-822000000000000.0,us,287_usb
718362,1976-02-28T16:27:11,-74.938,-39.979,15.0,5.92,mw,13.0,45.0,-85.0,187.0,45.0,-95.0,44.94549303233436,279.46670640184016,45.000000000000114,102.9999999999966,1.767486394605876,11.23167201047272,-0.8,-0.23,1.03,-0.03,0.01,0.23,gem,1_gem
C022876A,1976-02-28T16:27:13,-75.57,-40.3,15.0,5.5,mw,13.0,45.0,-85.0,187.0,45.0,-95.0,0.0,280.0,3.0,190.0,87.0,13.0,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,gcmt,1_gcmt
714840,1976-05-30T03:08:53,-75.479,-41.493,15.0,6.09,mw,23.0,47.0,-79.0,187.0,44.0,-101.0,44.71812621806434,285.24335354643136,43.50121317153992,85.24675940341228,10.151791173494509,185.03043265676348,-1.66,0.08,1.59,-0.24,-0.03,0.43,gem,2_gem
C053076A,1976-05-30T03:08:55,-75.94,-42.06,15.0,5.9,mw,187.0,44.0,-101.0,23.0,47.0,-79.0,2.0,105.0,8.0,195.0,82.0,4.0,-1.66e+18,8e+16,1.59e+18,-2.4e+17,-3e+16,4.3e+17,gcmt,2_gcmt
B011177A,1977-01-11T07:02:34,-71.44,-31.68,35.0,5.2,mwc,5.0,34.0,111.0,160.0,59.0,77.0,73.0,36.0,11.0,167.0,13.0,259.0,,,,,,,us,3_us
703413,1977-01-11T07:02:35,-71.704,-31.775,27.0,5.23,mw,5.0,34.0,111.0,160.0,59.0,77.0,36.30714564942775,35.935484408489174,23.591020514025843,144.65126343914346,44.38327846631126,259.95401093532064,7.12,1.04,-8.16,2.18,-3.4,1.41,gem,3_gem
B011177A,1977-01-11T07:02:43,-72.1,-31.92,42.2,5.4,mw,5.0,34.0,111.0,160.0,59.0,77.0,73.0,36.0,11.0,167.0,13.0,259.0,7.116e+16,1.044e+16,-8.16e+16,2.177e+16,-3.401e+16,1.407e+16,gcmt,3_gcmt
703930,1977-01-25T00:50:49,-68.377,-33.597,15.8,5.32,mw,180.0,45.0,147.0,295.0,67.0,50.0,19.71868056531342,158.99682294590718,44.99999999999999,270.0,38.41972479212712,52.4809520919103,,,,,,,gem,288_gem
702707,1977-02-22T14:10:07,-75.316,-45.565,10.0,5.45,mw,168.0,78.0,-14.0,261.0,76.0,-168.0,17.453515997773003,34.66646103734331,72.50072496006284,210.3899641353723,1.2256678185928165,304.28104071761544,-0.07,0.66,-0.58,0.3,0.53,-1.64,gem,4_gem
B022277A,1977-02-22T14:10:08,-75.29,-45.61,33.0,5.4,mwc,261.0,76.0,-168.0,168.0,78.0,-14.0,2.0,215.0,72.0,310.0,18.0,124.0,,,,,,,us,4_us
B022277A,1977-02-22T14:10:12,-76.35,-45.97,10.0,5.4,mw,261.0,76.0,-168.0,168.0,78.0,-14.0,2.0,215.0,72.0,310.0,18.0,124.0,-7300000000000000.0,6.61e+16,-5.88e+16,3.02e+16,5.34e+16,-1.642e+17,gcmt,4_gcmt
B100577B,1977-10-05T04:34:09,-70.74,-28.25,52.0,5.5,mwc,16.0,36.0,113.0,168.0,57.0,74.0,73.0,38.0,13.0,177.0,11.0,270.0,,,,,,,us,289_us
691406,1977-10-05T04:34:10,-70.968,-28.341,50.2,5.48,mw,16.0,36.0,113.0,168.0,57.0,74.0,32.47200810937245,37.88054558545576,28.37231123089134,147.9826389912513,44.19418134739383,269.65707085843025,1.7,0.28,-1.98,0.4,-0.74,-0.06,gem,289_gem
B100577B,1977-10-05T04:34:18,-71.43,-28.34,52.7,5.4,mw,16.0,36.0,113.0,168.0,57.0,74.0,73.0,38.0,13.0,177.0,11.0,270.0,1.703e+17,2.7900000000000004e+16,-1.982e+17,3.97e+16,-7.41e+16,-5600000000000000.0,gcmt,289_gcmt
