#,year,month,day,hour,minute,seconds,longitude,latitude,depth,rms,magnitude,magnitude_type
102,1982,7,7,13,44,37.18,-69.862718,-31.491249,121.0552,0.37,,xx
103,1982,7,9,7,53,54.69,-71.739228,-33.952555,34.0848,1.22,,xx
104,1982,7,9,8,54,40.69,-70.637547,-33.606672,84.6987,1.37,,xx
105,1982,7,9,10,33,10.92,-72.105606,-31.994125,18.3834,0.82,,xx
106,1982,7,10,1,44,42.88,-70.487854,-33.745956,94.748,0.81,,xx
107,1982,7,10,12,54,43.24,-70.139844,-31.180256,122.5786,0.85,,xx
108,1982,7,11,1,45,17.66,-70.105438,-31.671435,138.0027,0.71,,xx
109,1982,7,11,11,16,54.52,-71.910534,-30.170719,7.0439,0.89,,xx
110,1982,7,11,22,50,3.27,-72.080349,-33.476751,22.3259,0.62,,xx
111,1982,7,12,12,2,46.94,-69.247517,-31.618048,154.6242,0.46,,xx
112,1982,7,13,1,47,34.23,-68.521102,-31.217901,90.7893,0.64,,xx
113,1982,7,14,3,20,16.62,-70.293506,-34.750409,121.6932,0.41,,xx
114,1982,7,14,10,9,20.39,-71.764482,-32.069877,65.2434,0.77,,xx
115,1982,7,14,21,27,11.01,-71.752362,-32.300298,4.5425,0.76,,xx
116,1982,7,15,15,29,39.73,-71.589133,-32.478658,22.7051,0.58,,xx
117,1982,7,21,5,33,52.25,-69.252631,-31.689351,103.6789,1.2,,xx
118,1982,7,21,22,36,15.33,-70.670634,-33.507451,80.4817,0.57,,xx
119,1982,7,22,21,22,42.95,-71.133968,-29.7333,21.292,1.44,,xx
120,1982,7,23,5,35,41.05,-71.362289,-33.405716,51.1997,0.45,,xx
121,1982,7,26,5,25,50.12,-71.582174,-32.307157,46.8256,0.23,,xx
122,1982,7,26,6,17,35.89,-72.334708,-33.366728,18.5892,1.47,,xx
123,1982,7,28,23,9,19.45,-71.096453,-32.718716,61.6461,0.9,,xx
124,1982,7,29,0,57,7.73,-72.372248,-33.26617,14.9395,0.88,,xx
125,1982,7,29,6,7,10.54,-70.169479,-32.336867,105.5632,0.72,,xx
126,1982,7,30,22,25,41.69,-72.186845,-32.967522,56.1564,1.07,,xx
127,1982,7,31,12,30,4.53,-68.963394,-31.217822,106.275,0.83,,xx
128,1982,7,31,20,20,0.8,-71.30626,-32.29938,27.2163,0.73,,xx
129,1982,8,1,23,19,42.22,-69.101049,-31.40285,46.4166,1.08,,xx
130,1982,8,2,6,16,50.42,-69.425402,-31.539088,103.8608,0.88,,xx
131,1982,8,3,2,13,48.98,-71.720413,-31.992302,91.7408,0.61,,xx
132,1982,8,3,3,24,22.14,-70.040804,-31.745308,139.6671,0.51,,xx
133,1982,8,3,4,21,52.34,-70.325709,-32.178321,93.8791,0.4,,xx
134,1982,8,3,16,8,51.49,-71.817158,-34.771644,45.5517,0.42,,xx
135,1982,8,6,9,18,7.52,-70.336356,-33.079115,99.6385,0.78,,xx
136,1982,8,7,17,0,33.48,-69.021253,-31.771331,-3.0125,1.33,,xx
137,1982,8,7,21,38,26.67,-69.829593,-31.682064,125.1808,0.78,,xx
138,1982,8,9,3,27,16.12,-68.739305,-30.59337,194.777,1.15,,xx
139,1982,8,10,18,1,31.88,-72.930983,-33.157942,34.7097,0.67,,xx
140,1982,8,11,7,58,4.32,-72.134952,-33.599551,31.473,0.55,,xx
141,1982,8,11,13,32,57.33,-70.149312,-33.392455,102.4135,0.45,,xx
142,1982,8,11,13,41,15.86,-71.903575,-32.691448,32.1166,0.47,,xx
143,1982,8,11,15,45,43.64,-72.052163,-33.230022,33.4962,0.44,,xx
144,1982,8,11,20,56,56.81,-72.218326,-34.094913,21.9491,0.79,,xx
145,1982,8,12,8,55,49.39,-70.487042,-34.392938,95.2129,0.49,,xx
146,1982,8,12,10,45,48.64,-70.649737,-33.349318,93.2716,0.77,,xx
147,1982,8,14,8,39,50.97,-71.342094,-33.295339,49.0845,0.82,,xx
148,1982,8,14,10,51,41.01,-69.072458,-32.657204,129.1625,0.45,,xx
149,1982,8,16,9,10,6.65,-70.334991,-33.169024,98.0548,0.32,,xx
150,1982,8,16,19,13,17.1,-69.756195,-31.607788,14.2493,0.5,,xx
151,1982,8,17,6,13,36.69,-71.39058,-32.843239,68.9117,0.42,,xx
152,1982,8,17,18,2,25.8,-67.780843,-30.768682,209.1114,1.0,,xx
153,1982,8,18,6,18,50.83,-69.343094,-31.733019,26.3867,0.57,,xx
