
  International Seismological Centre
  ISC: Focal Mechanism solutions

Any use of data from the ISC *should be cited*. The correct format for
citations may be found on our citation page <http://www.isc.ac.uk/
citations/>.

Once the search has completed, a compressed KML file <https://
www.isc.ac.uk/temp/kml/507173769.kmz> will be available to view the
results in Google Earth <http://earth.google.com/>.

Sorry a problem has occured with the map.
*Search summary:*
Database: Reviewed ISC Bulletin
Search type: Rectangular search
Latitude range: -51 to -27
Longitude range: -80 to -65
Start date: 1976-01-01 00:00:00
End date: 2025-08-01 00:00:00
Magnitude >= 4.9
Events found: 1650
Date of search: Mon Sep 1 13:00:30 2025 GMT

Agencies whose data contributed towards the results of this search are
listed at the bottom of the page.

/Please note:/

Data on or after 2023/09/01 have not been reviewed by the ISC.



DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
Reviewed ISC Bulletin
-----EVENT----|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
615021020 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615021020&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-08,04:55:51   ,-36.5800, -73.6400, 19.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,18,1.470, 6.0,18, 0.638, 0.018,-0.656,-0.164,-0.137,-1.301, 15.00,13.00,  97.00,188.00,77.00,  88.00,18, 1.447,58.00, 95.00,-1.489,32.00,279.00, 0.042, 2.00,188.00
615020887 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615020887&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-08,05:44:41.70,-36.5878, -73.6476, 17.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.180, 4.6,16, 0.998,-0.185,-0.814, 0.030,-0.302,-0.678, 32.44,29.59, 110.63,189.03,62.48,  78.69,16, 1.235,70.00, 75.00,-1.122,17.00,287.00,-0.113,10.00,194.00
615021354 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615021354&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-08,07:08:07   ,-36.6100, -73.5200, 25.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,2.920, 4.9,16, 1.256, 0.125,-1.380, 0.030,-0.418,-2.571, 31.00,16.00, 120.00,181.00,76.00,  82.00,16, 2.849,58.00, 80.00,-2.989,31.00,277.00, 0.140, 8.00,183.00
615022643 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615022643&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-08,17:09:52.10,-38.1968, -74.0280, 15.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,15,7.990, 4.5,15, 3.567, 1.958,-5.525, 1.478,-2.682,-5.557, 52.11,32.84, 148.63,169.23,73.60,  61.14,15, 7.383,53.00, 45.00,-8.479,23.00,281.00, 1.096,28.00,178.00
615023022 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615023022&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-09,12:21:29.80,-36.4925, -73.6050, 14.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,15,1.930, 4.1,15, 1.909,-0.376,-1.533, 0.082,-0.774, 0.190, 26.26,48.08,  89.52,206.97,41.92,  90.53,15, 1.920,87.00,290.00,-1.931, 3.00,117.00, 0.011, 0.00, 27.00
615033206 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615033206&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2016-11-13,01:01:56.80,-28.2400, -67.3600,147.5,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.287, 5.3,17,-0.760,-0.349, 1.110,-0.648, 0.492,-0.185, 48.00,65.00, -50.00,165.00,46.00,-144.00,17, 1.330,11.00,110.00,-1.244,52.00,  6.00,-0.086,36.00,208.00
615033206 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615033206&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-13,01:01:57   ,-28.1200, -67.4200,130.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,1.130, 5.3,17,-0.753,-0.199, 0.953,-0.538, 0.362,-0.301, 42.00,64.00, -59.00,169.00,39.00,-135.00,17, 1.164,14.00,110.00,-1.084,59.00,356.00,-0.080,27.00,207.00
615033088 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615033088&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-13,14:01:00.80,-28.9231, -67.4806,120.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,4.270, 5.7,17,-3.158, 1.197, 1.961,-2.317,-1.749,-1.476,112.48,55.98,-127.80,346.67,49.09, -47.77,17, 3.390, 4.00,228.00,-4.795,59.00,325.00, 1.406,31.00,136.00
615033287 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615033287&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-13,17:52:52.80,-31.9902, -68.1874,120.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,2.390, 4.9,16,-1.725,-0.404, 2.129,-0.927,-0.299,-0.956, 18.76,62.46, -60.97,148.57,39.17,-132.93,16, 2.356,13.00, 88.00,-2.418,61.00,334.00, 0.062,25.00,184.00
615052593 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615052593&out_format=ISF2&request=COMPREHENSIVE>,se  ,IPGP <https://www.isc.ac.uk/cgi-bin/agency-get?agency=IPGP>     ,2016-11-20,20:57:43.00,-31.6430, -68.7650,107.0,        ,IPGP <https://www.isc.ac.uk/cgi-bin/agency-get?agency=IPGP>     ,  ,     , 6.5,  ,      ,      ,      ,      ,      ,      ,  6.00,41.00,-103.00,203.00,50.00, -79.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
615052593 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615052593&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-20,20:57:43.90,-31.6068, -68.6400,108.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,18,6.940, 6.5,18,-7.138, 1.082, 6.056, 1.296, 0.898, 1.154,  3.10,39.65,-101.28,197.62,51.26, -80.79,18, 6.353, 6.00,281.00,-7.413,81.00,152.00, 1.060, 7.00, 12.00
615052593 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615052593&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-20,20:57:46   ,-31.7400, -68.5300,120.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,18,5.550, 6.4,18,-6.006, 2.416, 3.589, 1.138, 0.747, 1.238, 24.00,36.00, -94.00,210.00,54.00, -86.00,18, 4.209, 9.00,298.00,-6.287,80.00,136.00, 2.078, 3.00, 28.00
615052593 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615052593&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2016-11-20,20:57:47.60,-31.6600, -68.7400,119.1,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,5.191, 6.4,18,-5.710, 2.150, 3.560, 0.601, 1.500, 0.682, 31.00,40.00, -92.00,214.00,50.00, -89.00,18, 4.591, 5.00,303.00,-5.791,85.00,136.00, 1.200, 1.00, 33.00
615054568 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615054568&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-21,00:09:49.20,-37.4779, -73.7213, 21.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.890, 4.8,16, 1.051, 0.048,-1.099, 0.206,-0.481,-1.460, 42.33,24.25, 131.53,178.17,72.09,  73.37,16, 1.878,60.00, 65.00,-1.897,25.00,281.00, 0.018,16.00,183.00
615054538 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=615054538&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-11-21,12:51:48.10,-38.1358, -74.0905, 19.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.190, 4.7,16, 0.649, 0.303,-0.953, 0.239,-0.199,-0.787, 36.67,29.59, 135.57,167.12,69.78,  67.93,16, 1.084,59.00, 46.00,-1.280,22.00,274.00, 0.196,21.00,175.00
609824367 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609824367&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-05,07:33:19.17,-47.1545, -75.3081, 35.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.450, 4.7,16,-0.087, 0.961,-0.873,-0.610, 0.182,-0.915, 39.65,87.38,-130.60,306.59,40.67,  -4.03,16, 1.395,30.00,162.00,-1.491,35.00,276.00, 0.096,41.00, 42.00
609838916 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609838916&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-08,20:42:36.43,-31.5275, -71.8740, 30.3,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,9.090, 5.2,16, 7.563, 1.595,-9.157,-0.285, 2.022,-2.565,176.22,53.45,  98.44,342.24,37.38,  78.81,16, 8.002,79.00,121.00,-9.876, 8.00,260.00, 1.874, 7.00,351.00
609869842 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609869842&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-12,01:40:25.01,-30.9368, -71.4241, 49.9,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,2.350, 4.8,16, 1.813,-0.116,-1.696, 0.542,-0.017,-1.468, 10.85,25.86, 111.20,167.53,66.01,  80.06,16, 2.450,67.00, 59.00,-2.244,20.00,265.00,-0.206, 9.00,172.00
609869842 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609869842&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-12,01:40:26   ,-31.0600, -71.2800, 60.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,2.130, 4.8,16, 2.207,-0.682,-1.526, 0.370,-0.504,-0.572, 35.00,41.00, 107.00,192.00,51.00,  75.00,16, 2.358,77.00, 48.00,-1.796, 5.00,293.00,-0.562,11.00,202.00
609869842 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609869842&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2016-12-12,01:40:28.30,-31.0300, -71.6200, 51.8,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,3.927, 5.0,16, 3.690, 0.167,-3.860, 0.493, 0.005,-0.957,  8.00,38.00, 102.00,172.00,53.00,  81.00,16, 3.874,80.00, 43.00,-3.980, 7.00,269.00, 0.104, 7.00,178.00
609869846 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609869846&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-12,02:56:58.96,-30.9721, -68.0620, 10.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.810, 4.8,16, 1.075,-0.690,-0.385, 0.292, 0.822, 1.278,104.29,38.49,  36.27,344.41,68.40, 122.66,16, 1.989,54.00,295.00,-1.559,17.00, 51.00,-0.430,30.00,151.00
609869846 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609869846&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2016-12-12,02:57:01.20,-31.3100, -68.1100, 21.7,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,4.076, 5.0,16, 2.980, 0.549,-3.530, 1.770, 1.590, 0.364,  8.00,51.00, 132.00,134.00,55.00,  51.00,16, 4.067,59.00,344.00,-4.085, 2.00,250.00, 0.016,31.00,159.00
609869846 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609869846&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-12,02:57:03   ,-30.9800, -68.0600, 11.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,3.460, 5.0,16, 1.863, 0.526,-2.389,-0.964, 0.872, 2.353,175.00,21.00, 106.00,338.00,69.00,  84.00,16, 3.030,65.00,238.00,-3.766,24.00, 73.00, 0.737, 6.00,340.00
609916647 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609916647&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-16,23:11:43.22,-30.4233, -71.6189, 35.6,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,3.520, 5.0,16, 2.680,-0.626,-2.054, 0.579, 1.390,-2.063,158.41,63.93,  99.29,317.99,27.57,  71.73,16, 3.454,70.00, 88.00,-3.591,18.00,241.00, 0.137, 8.00,334.00
609916647 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609916647&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2016-12-16,23:11:44.30,-30.5700, -72.0600, 35.8,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,7.147, 5.2,16, 6.170,-0.586,-5.580, 0.710, 2.300,-3.250,163.00,59.00,  95.00,334.00,31.00,  82.00,16, 7.011,76.00, 86.00,-7.282,14.00,250.00, 0.276, 4.00,341.00
609925850 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609925850&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-19,15:36:46.93,-30.7670, -71.4801, 35.1,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.050, 4.6,16, 0.861, 0.098,-0.959, 0.051, 0.074,-0.517,175.13,59.83,  89.04,357.03,30.19,  91.64,16, 0.999,75.00, 82.00,-1.102,15.00,266.00, 0.103, 1.00,176.00
609925850 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609925850&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2016-12-19,15:36:52.00,-30.8000, -71.2700, 43.7,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,4.279, 5.0,16, 3.790, 0.584,-4.370, 0.304, 0.769,-1.040,169.00,52.00,  87.00,354.00,38.00,  94.00,16, 3.933,82.00, 62.00,-4.624, 7.00,261.00, 0.694, 2.00,171.00
609939179 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939179&out_format=ISF2&request=COMPREHENSIVE>,se  ,IPGP <https://www.isc.ac.uk/cgi-bin/agency-get?agency=IPGP>     ,2016-12-25,14:22:27.00,-43.4170, -73.8970, 33.0,        ,IPGP <https://www.isc.ac.uk/cgi-bin/agency-get?agency=IPGP>     ,  ,     , 7.6,  ,      ,      ,      ,      ,      ,      , 17.00,23.00, 111.00,174.00,68.00,  81.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
609939179 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939179&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-25,14:22:27.01,-43.4064, -73.9413, 38.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,20,2.250, 7.5,20, 1.629,-0.148,-1.481, 0.347,-0.716,-1.418, 43.35,31.18, 127.56,181.40,65.77,  69.75,20, 2.320,64.00, 58.00,-2.181,18.00,286.00,-0.139,18.00,190.00
609939179 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939179&out_format=ISF2&request=COMPREHENSIVE>,se  ,MOS <https://www.isc.ac.uk/cgi-bin/agency-get?agency=MOS>      ,2016-12-25,14:22:27.20,-43.2810, -73.9460, 44.0,        ,MOS <https://www.isc.ac.uk/cgi-bin/agency-get?agency=MOS>      ,  ,     , 7.5,  ,      ,      ,      ,      ,      ,      , 37.00,24.00, 130.00,175.00,71.00,  74.00,  ,      ,60.00, 61.00,      ,25.00,277.00,      ,15.00,180.00
609939179 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939179&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2016-12-25,14:22:38.00,-43.4100, -74.4300, 32.8,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,20,2.839, 7.6,20, 1.750,-0.029,-1.730, 0.106,-0.034,-2.240,  4.00,19.00,  96.00,178.00,71.00,  88.00,20, 2.851,64.00, 85.00,-2.827,26.00,270.00,-0.033, 2.00,179.00
609939179 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939179&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-25,14:22:42   ,-43.6200, -73.7600, 21.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,20,3.380, 7.6,20, 1.803,-0.089,-1.713,-0.213, 0.018,-2.881,183.00,74.00,  92.00,356.00,16.00,  83.00,20, 3.430,61.00, 96.00,-3.333,29.00,272.00,-0.098, 2.00,  3.00
609939179 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939179&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-25,14:22:51.20,-43.7038, -73.7698, 37.7,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,20,2.850, 7.6,20, 2.038,-0.146,-1.892, 0.321,-0.107,-2.040, 10.44,22.46, 104.50,174.81,68.29,  84.09,20, 2.942,66.00, 74.00,-2.760,23.00,269.00,-0.182, 5.00,177.00
609939192 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939192&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-25,22:54:34.10,-43.2565, -74.4433, 18.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,3.010, 4.9,16, 1.650, 0.365,-2.015,-0.246,-0.509,-2.301, 18.89,19.91, 101.45,186.74,70.50,  85.89,16, 2.760,64.00, 90.00,-3.214,25.00,280.00, 0.455, 4.00,188.00
609939224 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609939224&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2016-12-27,14:07:23.40,-43.4162, -74.0672, 30.4,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.510, 4.7,16,-0.391, 0.351, 0.041,-0.048,-0.337,-1.423,105.07,15.27,-160.08,355.80,84.85, -75.61,16, 1.317,38.00, 73.00,-1.648,48.00,281.00, 0.331,14.00,174.00
610570390 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=610570390&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2017-01-03,21:19:07.54,-43.3527, -74.5017, 10.3,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,1.280, 5.3,17, 0.470, 0.072,-0.542, 0.221, 0.104,-1.154,169.24,78.18,  89.29,352.71,11.84,  93.39,17, 1.238,57.00, 78.00,-1.327,33.00,260.00, 0.089, 1.00,169.00
610570390 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=610570390&out_format=ISF2&request=COMPREHENSIVE>,se  ,IPGP <https://www.isc.ac.uk/cgi-bin/agency-get?agency=IPGP>     ,2017-01-03,21:19:08.00,-43.3640, -74.5350, 27.0,        ,IPGP <https://www.isc.ac.uk/cgi-bin/agency-get?agency=IPGP>     ,  ,     , 5.5,  ,      ,      ,      ,      ,      ,      , 24.00,24.00, 129.00,163.00,71.00,  74.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
610570390 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=610570390&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2017-01-03,21:19:11.80,-43.3300, -74.6300, 23.8,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.822, 5.4,17, 1.130, 0.081,-1.210, 0.108, 0.628,-1.260,172.00,68.00, 103.00,320.00,26.00,  61.00,17, 1.695,65.00,104.00,-1.949,22.00,252.00, 0.255,12.00,347.00
610570390 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=610570390&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2017-01-03,21:19:17.20,-43.3342, -74.4337, 13.5,TRUE    ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,17,2.300, 5.5,17, 0.718, 0.286,-1.004, 0.882, 0.149,-1.924, 18.63,14.03, 131.78,155.99,79.58,  80.55,17, 2.201,54.00, 54.00,-2.393,34.00,254.00, 0.191, 9.00,158.00
609978254 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609978254&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2017-01-04,13:24:04.68,-30.2832, -71.5346, 45.4,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,2.720, 4.9,16, 2.519, 0.052,-2.571,-0.471, 0.755, 0.340,173.94,40.86, 103.43,336.42,50.48,  78.64,16, 2.614,80.00,193.00,-2.811, 5.00, 74.00, 0.198, 9.00,344.00
609978254 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=609978254&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2017-01-04,13:24:07.10,-30.5100, -71.6400, 32.5,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,3.886, 5.0,16, 3.330,-0.280,-3.050,-1.610, 1.330, 0.717,175.00,38.00, 119.00,320.00,58.00,  69.00,16, 3.950,70.00,185.00,-3.822,11.00, 65.00,-0.128,17.00,332.00
610049683 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=610049683&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2017-01-08,00:33:48.35,-30.1501, -72.1870, 10.0,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,16,1.990, 4.8,16, 1.889, 0.153,-2.041, 0.228,-0.009,-0.102,  7.56,44.01, 100.60,172.98,46.93,  79.93,16, 1.921,83.00, 11.00,-2.044, 1.00,270.00, 0.123, 7.00,180.00
610049683 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=610049683&out_format=ISF2&request=COMPREHENSIVE>,se  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,2017-01-08,00:33:51.10,-30.2300, -72.4200, 20.6,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,3.907, 5.0,16, 3.000,-0.355,-2.640,-0.170, 0.546,-2.640,178.00,66.00,  98.00,339.00,25.00,  73.00,16, 4.072,68.00,102.00,-3.742,21.00,262.00,-0.325, 7.00,355.00
610051617 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=610051617&out_format=ISF2&request=COMPREHENSIVE>,se  ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,2017-01-10,14:59:49.30,-31.3494, -70.9196, 87.7,        ,NEIC <https://www.isc.ac.uk/cgi-bin/agency-get?agency=NEIC>     ,15,7.070, 4.5,15,-1.605,-5.033, 6.638,-1.681, 2.186, 2.520, 54.05,61.96,  -8.57,148.10,82.44,-151.69,15, 7.572,14.00,278.00,-6.421,25.00, 15.00,-1.151,61.00,162.00
