
  International Seismological Centre
  ISC: Focal Mechanism solutions

Any use of data from the ISC *should be cited*. The correct format for
citations may be found on our citation page <http://www.isc.ac.uk/
citations/>.

Once the search has completed, a compressed KML file <https://
www.isc.ac.uk/temp/kml/507173769.kmz> will be available to view the
results in Google Earth <http://earth.google.com/>.

Sorry a problem has occured with the map.
*Search summary:*
Database: Reviewed ISC Bulletin
Search type: Rectangular search
Latitude range: -51 to -27
Longitude range: -80 to -65
Start date: 1976-01-01 00:00:00
End date: 2025-08-01 00:00:00
Magnitude >= 4.9
Events found: 1650
Date of search: Mon Sep 1 13:00:30 2025 GMT

Agencies whose data contributed towards the results of this search are
listed at the bottom of the page.

/Please note:/

Data on or after 2023/09/01 have not been reviewed by the ISC.



DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
Reviewed ISC Bulletin
-----EVENT----|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
   672797 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=672797&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1978-12-21,01:13:57.20,-36.4000, -72.5700, 50.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,7.270, 5.8,17, 5.478,-4.288,-1.190,-1.293, 2.866, 4.274,101.00,34.00,  52.00,324.00,64.00, 112.00,17, 7.570,64.00,271.00,-6.970,16.00, 38.00,-0.600,20.00,134.00
   668598 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=668598&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-03-20,21:41:27.40,-35.7900, -71.4200,122.7,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.460, 5.4,17,-0.452,-0.282, 0.730,-0.835,-0.174,-1.012, 32.00,81.00, -68.00,141.00,24.00,-158.00,17, 1.370,33.00,103.00,-1.560,49.00,326.00, 0.190,22.00,208.00
   667197 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=667197&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-04-26,02:00:11.80,-33.9100, -72.0700, 33.7,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,8.700, 5.9,17, 5.149, 1.315,-6.460, 1.557,-0.855,-6.172, 26.00,25.00, 124.00,170.00,70.00,  76.00,17, 8.270,63.00, 57.00,-9.130,23.00,271.00, 0.870,13.00,175.00
   667302 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=667302&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-04-28,11:38:25.90,-27.3900, -71.1700, 21.1,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,1.960, 6.1,18, 1.307,-0.607,-0.700,-1.162,-0.827,-0.719, 31.00,24.00,  68.00,234.00,68.00,  99.00,18, 1.890,66.00,161.00,-2.020,22.00,317.00, 0.120, 9.00, 51.00
   665372 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=665372&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-05-20,19:37:48.30,-27.3200, -71.1100, 15.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,7.570, 5.8,17, 2.679, 0.494,-3.170, 2.082, 0.286,-6.646, 11.00,13.00, 117.00,163.00,79.00,  84.00,17, 7.390,56.00, 66.00,-7.740,34.00,258.00, 0.360, 6.00,165.00
   664194 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=664194&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-06-27,21:46:30.10,-29.5800, -68.5600,141.2,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.880, 5.6,17,-1.935, 2.083,-0.140,-1.087, 0.285,-1.797, 52.00,69.00,-115.00,284.00,32.00, -43.00,17, 2.600,20.00,161.00,-3.170,59.00,287.00, 0.570,23.00, 62.00
   661401 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=661401&out_format=ISF2&request=COMPREHENSIVE>,de  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-07-06,02:01:17.80,-32.3800, -71.6300, 49.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,5.240, 5.8,17, 4.916,-0.020,-4.890, 1.190, 0.165, 1.409, 11.00,54.00, 105.00,166.00,39.00,  70.00,17, 5.380,75.00,328.00,-5.090, 8.00, 90.00,-0.290,12.00,182.00
   659696 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=659696&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-08-02,07:40:29.60,-28.0100, -71.4800, 19.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.250, 5.5,17, 1.488, 0.527,-2.010, 0.328, 0.009,-1.353, 15.00,28.00, 113.00,169.00,65.00,  79.00,17, 2.010,68.00, 57.00,-2.480,19.00,268.00, 0.470,10.00,174.00
   661094 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=661094&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-08-30,18:59:53.80,-31.4000, -67.0600, 27.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.030, 5.5,17, 1.052, 0.162,-1.210,-1.404,-0.652,-0.647,233.00,73.00, 116.00,354.00,31.00,  35.00,17, 2.090,55.00,176.00,-1.970,23.00,303.00,-0.120,25.00, 45.00
   656945 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=656945&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1979-10-11,08:56:02.50,-33.4100, -71.5500, 44.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.440, 5.4,17, 0.957, 0.185,-1.140,-0.100,-0.226,-0.956, 13.00,24.00,  96.00,187.00,66.00,  87.00,17, 1.330,69.00, 92.00,-1.550,21.00,279.00, 0.220, 2.00,188.00
