id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class,sub_depth
C200512311214A,2005-12-31T12:14:02,-70.806248,-29.173219,-0.743,5.0,mwc,311.0,18.0,5.0,217.0,88.0,108.0,709999999999999.9,1.3e+16,-1.3700000000000002e+16,-2.25e+16,-3.2400000000000004e+16,90000000000000.0,anss,,forearc,56.757598877
C200604301917A,2006-04-30T19:17:25,-71.319467,-27.073481,4.565,6.6,mw,11.0,14.0,106.0,175.0,76.0,86.0,4.55e+18,3.3e+17,-4.88e+18,9.8e+17,-8.86e+18,-2.1e+17,gcmt,,forearc,16.412689209
C200604302012A,2006-04-30T20:12:25,-71.230955,-27.217325,3.1709,5.7,mw,4.0,23.0,100.0,174.0,68.0,86.0,2.78e+17,9000000000000000.0,-2.86e+17,4.15e+16,-2.82e+17,5400000000000000.0,gcmt,,forearc,18.2370204926
C200605181826A,2006-05-18T18:26:20,-71.98,-32.43,10.0,5.0,mwc,11.0,24.0,109.0,170.0,68.0,82.0,3.29e+16,-1680000000000000.0,-3.13e+16,8460000000000000.0,-3.11e+16,-730000000000000.0,anss,,forearc,21.0235519409
pde20060805140344230_25,2006-08-05T14:03:44,-68.858218,-33.155405,5.0712,5.6,mwc,125.0,50.0,90.0,305.0,40.0,90.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,anss,gcmt:C200608051403A,backarc,
C200612311455A,2006-12-31T14:55:02,-71.11,-37.94,20.6,5.5,mwc,31.0,86.0,178.0,121.0,88.0,4.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,anss,,crustal_intraarc_shallow,
C200701232040A,2007-01-23T20:40:16,-72.19,-45.31,32.0,5.3,mwc,264.0,89.0,-1.0,354.0,89.0,-179.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,anss,,crustal_intraarc_shallow,
C200702030900A,2007-02-03T09:00:15,-73.090392,-45.413134,3.0505,5.3,mwc,91.0,84.0,-6.0,182.0,84.0,-174.0,-3.4200000000000004e+16,2.36e+16,1.06e+16,-7199999999999999.0,8300000000000000.0,1.24e+17,anss,,crustal_intraarc_shallow,
C200702231955A,2007-02-23T19:55:48,-73.032868,-45.385461,7.5138,5.7,mwc,87.0,70.0,-12.0,181.0,79.0,-160.0,-4.5e+16,1.53e+16,2.97e+16,-7.93e+16,1.3500000000000002e+17,3.79e+17,anss,,crustal_intraarc_shallow,
C200703291440A,2007-03-29T14:40:44,-71.156099,-32.536707,31.0946,5.6,mwc,12.0,19.0,91.0,191.0,71.0,90.0,1.89e+17,2.27e+16,-2.12e+17,-4.94e+16,-2.54e+17,-4.88e+16,anss,,forearc,53.1773414612
C200703291832A,2007-03-29T18:31:58,-71.162868,-32.802233,14.0009,5.0,mwc,347.0,31.0,85.0,172.0,59.0,93.0,3.43e+16,1230000000000000.0,-3.55e+16,1729999999999999.8,-1.88e+16,6960000000000000.0,anss,,forearc,53.1518173218
C200704020249A,2007-04-02T02:49:35,-73.059701,-45.378045,5.53,6.1,mwc,53.0,43.0,-86.0,228.0,47.0,-94.0,-1.59e+18,1.14e+18,4.5e+17,1.15e+17,1.32e+17,1.71e+18,anss,,crustal_intraarc_shallow,
C200704211753A,2007-04-21T17:53:46,-72.65,-45.24,36.7,6.2,mwc,84.0,86.0,2.0,354.0,88.0,176.0,-9.12e+17,-1.2e+17,1.03e+18,1.85e+17,2.8000000000000003e+17,2.77e+18,anss,,crustal_intraarc_shallow,
C200704220605A,2007-04-22T06:05:28,-71.537512,-32.534205,6.8157,5.1,mwc,348.0,28.0,61.0,201.0,66.0,105.0,3.47e+16,5639999999999999.0,-4.03e+16,-1.5e+16,-2.79e+16,-4530000000000000.0,anss,,forearc,36.0971603394
C200805020551A,2008-05-02T05:51:24,-72.27,-42.77,10.0,5.2,mwc,206.0,77.0,-177.0,115.0,87.0,-13.0,-3.55e+16,8.82e+16,-5.28e+16,-1.85e+16,1500000000000000.0,5.590000000000001e+16,anss,,crustal_intraarc_shallow,
C200805030236A,2008-05-03T02:36:12,-72.25,-42.78,10.0,5.0,mwc,280.0,52.0,-31.0,31.0,66.0,-137.0,-1.98e+16,2.9e+16,-9160000000000000.0,9930000000000000.0,-3.8e+16,1.66e+16,anss,,crustal_intraarc_shallow,
C200805240243A,2008-05-24T02:43:36,-72.549257,-42.111176,5.1816,5.4,mwc,84.0,57.0,-11.0,180.0,81.0,-146.0,-6.999999999999999e+16,4500000000000000.0,6.55e+16,3.03e+16,8.34e+16,1.57e+17,anss,,crustal_intraarc_shallow,
C200903111306A,2009-03-11T13:06:53,-69.39146,-31.899018,0.6495,5.3,mwc,190.0,44.0,109.0,344.0,49.0,72.0,1.03e+17,1.97e+16,-1.23e+17,-2.14e+16,8000000000000000.0,7800000000000000.0,anss,,backarc,
C200910280620A,2009-10-28T06:20:02,-71.968623,-32.809443,12.3079,5.0,mwc,164.0,43.0,86.0,349.0,47.0,94.0,3.88e+16,-2590000000000000.0,-3.62e+16,1160000000000000.0,2980000000000000.0,8360000000000000.0,anss,,forearc,22.7623958588
C201001191728A,2010-01-19T17:28:21,-65.74,-27.71,32.1,5.2,mw,243.0,75.0,178.0,333.0,88.0,15.0,8500000000000002.0,6.4e+16,-7.25e+16,-1.04e+16,2.01e+16,-4.92e+16,gcmt,,backarc,
pde20100227172430590_19,2010-02-27T17:24:30,-73.208,-36.354,19.0,6.1,mwb,226.0,63.0,51.0,107.0,46.0,141.0,9.4e+17,-1.34e+18,3.9e+17,-2.1e+17,-7.4e+17,-4.5e+17,anss,,forearc,27.9037513733
C201002281125A,2010-02-28T11:25:35,-71.81262,-34.967995,7.3617,6.2,mwc,17.0,25.0,113.0,171.0,67.0,80.0,1.65e+18,1.95e+17,-1.84e+18,3.93e+17,-1.64e+18,-1.13e+17,anss,,forearc,49.3663215637
C201003010846A,2010-03-01T08:46:56,-72.29,-35.68,35.0,5.3,mwc,26.0,17.0,98.0,197.0,73.0,87.0,5.610000000000001e+16,2500000000000000.0,-5.86e+16,-2.67e+16,-9.1e+16,-2.63e+16,anss,,forearc,45.3857154846
C201003011656A,2010-03-01T16:56:49,-72.47,-36.3,35.0,5.0,mwc,43.0,35.0,125.0,182.0,62.0,68.0,2.5e+16,2650000000000000.0,-2.77e+16,3140000000000000.0,-1.8e+16,-1.39e+16,anss,,forearc,49.9037818909
C201003020209A,2010-03-02T02:09:35,-71.37,-39.76,24.8,5.1,mwc,176.0,65.0,-168.0,80.0,79.0,-25.0,470000000000000.0,-1.52e+16,1.47e+16,-3.2e+16,1.53e+16,5.28e+16,anss,,crustal_intraarc_shallow,
C201003021130A,2010-03-02T11:30:31,-72.620695,-34.990088,0.5138,5.0,mwc,198.0,67.0,-163.0,101.0,74.0,-24.0,-1.85e+16,2.81e+16,-9510000000000000.0,-8520000000000000.0,3000000000000000.0,3.22e+16,anss,,forearc,24.1707077026
C201003030616A,2010-03-03T06:16:22,-72.227238,-33.751381,7.0884,5.2,mwc,10.0,22.0,99.0,180.0,68.0,86.0,5.15e+16,2870000000000000.0,-5.44e+16,2070000000000000.0,-5.43e+16,-4330000000000000.0,anss,,forearc,18.7931900024
C201003050334A,2010-03-05T03:34:28,-71.877182,-34.563802,11.0094,5.4,mwc,1.0,38.0,-77.0,165.0,53.0,-100.0,-1.48e+17,-3.67e+16,1.85e+17,-2.24e+16,4.2e+16,-3.07e+16,anss,,forearc,38.3177680969
C201003050355A,2010-03-05T03:55:14,-71.88318,-34.612959,11.1325,5.3,mwc,319.0,75.0,177.0,50.0,87.0,15.0,-600000000000000.0,-8.98e+16,9.04e+16,1.53e+16,2.09e+16,1.3800000000000002e+16,anss,,forearc,39.1373329163
20100305091936,2010-03-05T09:19:39,-73.564601,-36.573504,6.5931,6.1,mwc,11.0,8.0,116.0,164.0,83.0,87.0,4.6e+17,6.3e+16,-5.23e+17,5.21e+17,-1.83e+18,3.8e+16,anss,gcmt:C201003050919A,forearc,21.3021831512
C201003072346A,2010-03-07T23:46:57,-73.276893,-36.165908,19.2263,5.1,mwc,26.0,21.0,-119.0,237.0,72.0,-80.0,-2.82e+16,1.24e+16,1.58e+16,3.48e+16,1.98e+16,1.76e+16,anss,,forearc,23.7265148163
C201003081808A,2010-03-08T18:08:01,-71.61,-32.61,22.4,5.3,mwc,353.0,26.0,89.0,175.0,64.0,91.0,8.04e+16,-600000000000000.0,-7.98e+16,5300000000000000.0,-6.19e+16,8699999999999998.0,anss,,forearc,34.1910362244
C201003111439A,2010-03-11T14:39:44,-71.89,-34.29,11.0,6.9,mwc,324.0,35.0,-90.0,144.0,55.0,-90.0,-2.33e+19,8.58e+18,1.47e+19,-4.69e+18,6.43e+18,-9.55e+18,anss,,forearc,34.5272293091
C201003112011A,2010-03-11T20:11:20,-72.050695,-34.408577,10.7916,5.6,mwc,3.0,44.0,-61.0,146.0,52.0,-115.0,-3.27e+17,1.48e+16,3.12e+17,-1.41e+17,7199999999999999.0,-8.64e+16,anss,,forearc,30.960111618
C201003121650A,2010-03-12T16:50:01,-72.067622,-34.316248,28.228,5.7,mwc,342.0,40.0,-87.0,158.0,50.0,-92.0,-3.95e+17,2.49e+16,3.7e+17,-3.81e+16,6.830000000000001e+16,-1.47e+17,anss,,forearc,29.6160202026
C201003130712A,2010-03-13T07:12:03,-71.995987,-34.397626,0.1557,5.1,mwc,345.0,45.0,-81.0,152.0,46.0,-99.0,-4.51e+16,-2570000000000000.0,4.769999999999999e+16,-3890000000000000.0,-330000000000000.0,-2.33e+16,anss,,forearc,32.5734825134
C201003131034A,2010-03-13T10:34:43,-74.082478,-37.610073,1.556,5.8,mwc,7.0,19.0,102.0,175.0,71.0,86.0,3.56e+17,1.16e+16,-3.67e+17,5.39e+16,-4.62e+17,-6100000000000000.0,anss,,forearc,15.6854705811
C201003131522A,2010-03-13T15:22:35,-71.703115,-34.58103,44.0496,5.2,mwc,10.0,29.0,-75.0,172.0,62.0,-99.0,-6.979999999999999e+16,-6100000000000000.0,7.59e+16,-1.19e+16,4.63e+16,500000000000000.0,anss,,forearc,46.8708305359
C201003140731A,2010-03-14T07:31:25,-72.034834,-34.275043,21.8668,5.2,mwc,341.0,34.0,-116.0,191.0,59.0,-73.0,-6.810000000000001e+16,-2400000000000000.0,7.05e+16,1.94e+16,3.3800000000000004e+16,-5600000000000000.0,anss,,forearc,29.6160202026
C201003141352A,2010-03-14T13:52:22,-74.300752,-38.471441,3.695,5.5,mwc,281.0,25.0,-26.0,35.0,79.0,-113.0,-6.989999999999999e+16,9.46e+16,-2.47e+16,-7.21e+16,-1.49e+17,4.25e+16,anss,,forearc,14.560716629
C201003171738A,2010-03-17T17:38:33,-72.57,-43.84,10.0,5.4,mwc,191.0,68.0,-178.0,100.0,88.0,-22.0,-9300000000000000.0,6.34e+16,-5.41e+16,-6.19e+16,1.26e+16,1.47e+17,anss,,crustal_intraarc_shallow,
C201003180932A,2010-03-18T09:32:21,-72.83,-44.18,4.4,5.2,mwc,186.0,72.0,171.0,279.0,81.0,18.0,-8110000000000002.0,2.69e+16,-1.88e+16,-3.39e+16,-1.66e+16,8.210000000000002e+16,anss,,crustal_intraarc_shallow,
C201003290735A,2010-03-29T07:35:06,-71.93,-34.88,34.1,5.3,mwc,36.0,29.0,127.0,175.0,67.0,71.0,6.979999999999999e+16,1.62e+16,-8.6e+16,1.49e+16,-6.969999999999999e+16,-2.57e+16,anss,,forearc,42.5598182678
C201004011253A,2010-04-01T12:53:07,-71.82,-34.65,11.8,5.1,mwc,195.0,58.0,-142.0,82.0,59.0,-39.0,-3.2400000000000004e+16,2.1e+16,1.15e+16,-2.36e+16,2.53e+16,4.05e+16,anss,,forearc,43.7777023315
C201004180149A,2010-04-18T01:49:38,-73.77414,-37.550727,1.6508,5.6,mwc,4.0,19.0,93.0,180.0,71.0,89.0,1.73e+17,500000000000000.0,-1.74e+17,1200000000000000.0,-2.25e+17,-5600000000000000.0,anss,,forearc,21.4803943634
C201004231003A,2010-04-23T10:03:06,-72.89,-37.54,32.0,6.0,mwc,7.0,14.0,141.0,135.0,81.0,79.0,3.5e+17,5.7e+16,-4.07e+17,8.57e+17,-8.05e+17,2.05e+17,anss,,forearc,43.0034255981
C201005021452A,2010-05-02T14:52:39,-72.158997,-34.298177,19.8397,5.9,mwc,26.0,25.0,-36.0,149.0,76.0,-110.0,-4.18e+17,-1.93e+17,6.12e+17,-4.71e+17,6.57e+17,-4.5e+16,anss,,forearc,26.6495933533
C201005211852A,2010-05-21T18:52:12,-71.64,-34.52,37.2,5.3,mwc,25.0,38.0,-91.0,206.0,52.0,-90.0,-1.1299999999999998e+17,1.7399999999999998e+16,9.58e+16,1.29e+16,2.53e+16,4.93e+16,anss,,forearc,47.1581726074
C201006241324A,2010-06-24T13:24:09,-74.00884,-37.100601,3.85,5.0,mwc,12.0,24.0,102.0,178.0,66.0,85.0,3.19e+16,-3730000000000000.0,-2.82e+16,2980000000000000.0,-2.78e+16,-2550000000000000.0,anss,,forearc,15.831199646
C201008150750A,2010-08-15T07:50:36,-71.23056,-36.97822,20.9581,5.2,mwc,290.0,58.0,-9.0,25.0,82.0,-148.0,-1.84e+16,6.08e+16,-4.24e+16,-1.49e+16,-4.18e+16,5.540000000000001e+16,anss,,crustal_intraarc_shallow,
C201011100123A,2010-11-10T01:23:31,-73.36,-36.44,7.0,5.0,mwc,359.0,33.0,88.0,181.0,57.0,91.0,3.96e+16,-790000000000000.0,-3.88e+16,-920000000000000.0,-1.75e+16,-160000000000000.0,anss,,forearc,25.0499286652
pde20110102202017780_24,2011-01-02T20:20:17,-74.030172,-38.372621,2.7601,7.2,mww,175.0,80.0,90.0,355.0,10.0,90.0,2.84e+19,-4.9e+17,-2.79e+19,2.7e+18,-5.66e+19,-5.7e+17,anss,gcmt:C201101022020A,forearc,18.5187969208
