Date;origin time;Longitude;Latitude;Depth (km);x_error (km);y_error (km);z_error (km);Ml;N. Obs.;RMS;GAP;Mw
16.12.14;01:48:04.00;-71.586;-39.215;9.1;0.8;1.1;1.8;0.2;3;1.1;246;X.X
16.12.14;02:49:24.50;-71.685;-39.14;7.5;0.2;0.3;0.4;2.1;20;0.5;91;2.3
16.12.14;03:00:37.60;-71.721;-39.133;1;2.7;3.4;2.4;0.2;2;0;238;X.X
16.12.14;03:05:09.00;-71.731;-39.129;1.6;2.5;3.2;2.3;0.2;2;0;227;X.X
16.12.14;03:28:46.30;-71.693;-39.145;0;0.4;0.5;1.6;0.7;4;0.2;171;1.2
16.12.14;03:30:23.00;-71.698;-39.146;0.1;0.8;1.4;2.3;0.3;4;0.1;222;0.9
16.12.14;03:37:11.60;-71.689;-39.158;0;0.5;0.9;1.3;0.6;4;0.5;228;0.8
22.12.14;23:09:45.70;-72.287;-38.953;37.5;0.7;1.6;5.3;1.6;6;0.3;242;2
23.12.14;02:29:56.50;-72.294;-39.044;37.4;3.7;2.6;4.4;1.2;3;0;332;X.X
25.12.14;04:48:54.50;-71.74;-38.834;12.4;0.4;0.7;0.8;1;12;0.4;110;1.7
25.12.14;13:43:16.10;-71.465;-38.24;10;1;1.8;1.4;1.4;8;0.8;186;1.4
27.12.14;03:28:52.90;-71.813;-39.09;0.7;2.7;3.4;2.4;0.2;2;0;234;X.X
30.12.14;07:14:52.20;-71.928;-39.723;12.5;0.9;1;1.1;1.1;6;0.2;220;X.X
04.01.15;06:05:39.00;-71.745;-38.824;16;0.3;1.4;1.6;1;6;0.6;156;1.7
08.01.15;09:46:41.80;-72.22;-39.281;31.8;1.3;1.4;1.7;1.2;5;0.4;320;X.X
11.01.15;11:38:00.60;-71.718;-39.197;9;0.4;0.6;1.2;1.1;5;0.3;146;1.7
14.01.15;09:40:19.50;-71.689;-38.903;8.8;0.9;2.5;1.9;0.9;4;0.3;186;X.X
18.01.15;06:14:53.00;-71.838;-39.687;10;0.5;0.7;0.8;0.9;6;0.3;165;X.X
19.01.15;03:22:22.90;-71.717;-38.869;8;1;1.8;0.8;1;3;0.5;221;1.6
20.01.15;04:44:02.80;-71.853;-39.456;9;0.3;2.2;0.6;0.7;5;0.3;178;1.3
20.01.15;09:12:60.00;-71.864;-39.419;7.3;0.4;0.7;0.7;1.2;15;0.3;186;1.5
