id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
202410202259A,2024-10-20T22:59:00,-30.9,-68.73,117,5.7,mw,178,45,-106,20,48,-75,1,99,79,4,,,,,,,,,gmt,deep_subduction
202411030404A,2024-11-03T04:04:00,-35.76,-69.4,197,5.5,mw,187,26,-124,44,69,-75,22,122,63,338,,,,,,,,,gmt,deep_subduction
202412132338A,2024-12-13T23:38:00,-35.36,-70.79,115,6.4,mw,235,20,-53,16,74,-103,28,116,59,269,,,,,,,,,gmt,deep_subduction
010278A,,-37.96,-71.61,144,5.5,mw,93,53,-9,189,83,-142,20,315,31,58,,,,,,,,,gmt,deep_subduction
010703A,,-33.6,-70.22,113,5.7,mw,199,28,-70,356,64,-100,18,94,69,245,,,,,,,,,gmt,deep_subduction
010886A,,-35.83,-71.38,96,5.1,mw,303,16,0,33,90,-106,43,138,43,288,,,,,,,,,gmt,deep_subduction
011498D,,-31.82,-68.16,134,5.2,mw,176,31,-123,34,65,-72,17,110,66,335,,,,,,,,,gmt,deep_subduction
020599D,,-34.78,-70.56,99,5.2,mw,126,47,146,241,66,48,50,103,11,359,,,,,,,,,gmt,deep_subduction
020986A,,-36.24,-71.11,125,5.2,mw,14,14,92,192,76,89,59,101,31,282,,,,,,,,,gmt,deep_subduction
021097B,,-32.98,-68.31,152,5.3,mw,317,15,-31,77,82,-103,36,178,51,333,,,,,,,,,gmt,deep_subduction
022102D,,-31.77,-67.3,134,5.4,mw,131,33,-149,15,74,-61,23,82,52,318,,,,,,,,,gmt,deep_subduction
032079B,,-35.79,-71.42,123,5.4,mw,141,24,-158,32,81,-68,33,102,49,325,,,,,,,,,gmt,deep_subduction
032597A,,-33.45,-70.62,90,5.5,mw,158,59,-161,58,74,-33,10,111,34,14,,,,,,,,,gmt,deep_subduction
040189A,,-32.86,-70.19,119,5.3,mw,158,18,-122,10,75,-80,29,93,59,295,,,,,,,,,gmt,deep_subduction
040681A,,-35.36,-70.81,113,5.2,mw,95,33,163,200,81,58,45,78,29,315,,,,,,,,,gmt,deep_subduction
042097B,,-33.85,-70.39,116,5.6,mw,181,13,-93,4,77,-89,32,94,58,275,,,,,,,,,gmt,deep_subduction
042599B,,-31.91,-69.34,120,5.3,mw,36,42,-62,181,54,-113,6,286,71,34,,,,,,,,,gmt,deep_subduction
043004A,,-33.59,-70.5,102,5.0,mw,157,35,-133,26,65,-64,16,97,61,335,,,,,,,,,gmt,deep_subduction
050984A,,-34.34,-70.19,108,5.3,mw,205,31,-95,31,60,-87,14,119,76,309,,,,,,,,,gmt,deep_subduction
051490C,,-35.89,-71.34,92,6.1,mw,273,40,19,168,78,128,44,116,23,230,,,,,,,,,gmt,deep_subduction
051803C,,-31.46,-69.18,122,5.4,mw,43,41,-82,213,49,-97,4,307,83,76,,,,,,,,,gmt,deep_subduction
052299A,,-36.56,-70.57,164,5.3,mw,204,12,-65,359,80,-95,34,93,56,262,,,,,,,,,gmt,deep_subduction
052703D,,-31.32,-68.7,128,5.5,mw,223,37,-75,25,54,-101,9,122,77,256,,,,,,,,,gmt,deep_subduction
060798B,,-31.48,-67.77,125,5.9,mw,148,54,-145,36,62,-42,5,94,48,358,,,,,,,,,gmt,deep_subduction
060893F,,-31.62,-69.13,124,6.3,mw,40,41,-95,226,49,-86,4,314,85,172,,,,,,,,,gmt,deep_subduction
061600B,,-33.95,-69.92,109,6.4,mw,219,33,-67,11,60,-105,14,112,71,249,,,,,,,,,gmt,deep_subduction
061997F,,-33.15,-70.19,116,5.3,mw,150,24,-137,20,74,-72,27,95,57,314,,,,,,,,,gmt,deep_subduction
071380A,,-33.47,-70.49,113,5.7,mw,102,14,178,195,89,76,44,90,43,297,,,,,,,,,gmt,deep_subduction
080299A,,-33.08,-70.1,108,5.5,mw,141,19,-151,23,81,-73,34,99,51,312,,,,,,,,,gmt,deep_subduction
080380A,,-35.46,-69.82,164,5.3,mw,2,20,93,179,70,89,65,87,25,270,,,,,,,,,gmt,deep_subduction
080499C,,-31.87,-67.98,126,5.3,mw,155,45,-139,33,62,-53,10,98,56,353,,,,,,,,,gmt,deep_subduction
082498B,,-32.84,-69.32,115,5.1,mw,102,29,-106,300,62,-81,17,24,71,230,,,,,,,,,gmt,deep_subduction
090490F,,-30.92,-68.66,118,5.7,mw,215,44,-92,37,46,-88,1,126,88,0,,,,,,,,,gmt,deep_subduction
091591E,,-31.58,-69.96,123,5.8,mw,262,87,0,172,90,177,2,127,2,217,,,,,,,,,gmt,deep_subduction
092402B,,-31.48,-69.12,120,6.2,mw,27,39,-94,212,51,-87,6,300,83,143,,,,,,,,,gmt,deep_subduction
092803G,,-35.54,-71.11,105,5.1,mw,245,17,-66,39,74,-97,29,136,60,300,,,,,,,,,gmt,deep_subduction
093002B,,-35.17,-71.07,114,5.2,mw,222,23,-73,23,68,-97,23,119,66,281,,,,,,,,,gmt,deep_subduction
102094A,,-39.19,-70.8,170,5.9,mw,234,15,161,343,85,76,48,237,39,85,,,,,,,,,gmt,deep_subduction
102183A,,-30.69,-68.61,132,5.4,mw,323,30,-143,200,73,-65,24,271,56,141,,,,,,,,,gmt,deep_subduction
102485A,,-31.55,-68.73,124,5.5,mw,63,44,-105,263,48,-76,2,344,79,243,,,,,,,,,gmt,deep_subduction
102998B,,-32.56,-70.46,110,5.3,mw,165,47,164,266,78,44,39,136,20,29,,,,,,,,,gmt,deep_subduction
103093E,,-31.77,-68.16,126,5.8,mw,180,41,-125,43,58,-64,9,114,66,4,,,,,,,,,gmt,deep_subduction
110884E,,-31.54,-68.5,144,5.3,mw,178,45,-115,32,50,-67,3,105,72,7,,,,,,,,,gmt,deep_subduction
112798D,,-32.04,-69.21,129,5.4,mw,191,45,-107,35,47,-74,1,113,78,17,,,,,,,,,gmt,deep_subduction
112984B,,-35.42,-71.28,102,5.3,mw,151,19,-154,37,82,-73,35,112,50,325,,,,,,,,,gmt,deep_subduction
120191C,,-32.03,-69.55,114,5.4,mw,197,46,-121,58,52,-62,3,128,68,31,,,,,,,,,gmt,deep_subduction
121198B,,-31.52,-68.94,128,5.4,mw,32,41,-97,221,49,-84,4,307,84,175,,,,,,,,,gmt,deep_subduction
121202A,,-31.86,-67.28,132,5.3,mw,245,33,8,148,86,123,40,88,33,211,,,,,,,,,gmt,deep_subduction
121498D,,-38.28,-71.25,146,5.9,mw,250,8,-6,346,89,-98,44,84,45,248,,,,,,,,,gmt,deep_subduction
121581A,,-36.13,-71.16,105,5.0,mw,157,10,-61,308,81,-95,36,42,53,212,,,,,,,,,gmt,deep_subduction
121583A,,-33.09,-70.56,104,6.0,mw,202,21,-78,9,69,-95,24,103,65,271,,,,,,,,,gmt,deep_subduction
122190F,,-32.71,-69.7,130,5.4,mw,289,47,-7,24,85,-137,25,148,33,256,,,,,,,,,gmt,deep_subduction
122580B,,-31.0,-67.19,138,5.1,mw,173,40,-106,14,52,-77,6,94,78,334,,,,,,,,,gmt,deep_subduction
122602C,,-31.46,-68.55,122,5.2,mw,347,37,-81,156,54,-97,8,251,80,37,,,,,,,,,gmt,deep_subduction
122679A,,-35.9,-71.5,111,5.6,mw,199,6,-66,355,85,-92,39,87,50,262,,,,,,,,,gmt,deep_subduction
122992C,,-31.55,-67.15,144,5.4,mw,139,26,-112,343,66,-80,20,65,67,272,,,,,,,,,gmt,deep_subduction
123087A,,-34.74,-71.01,112,5.4,mw,126,21,-171,27,87,-69,38,99,44,318,,,,,,,,,gmt,deep_subduction
