id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
022876A,,-40.3,-75.57,15,5.9,mw,13,45,-85,187,45,-95,0,279,86,11,,,,,,,,,gmt,outer_rise
022883B,,-44.78,-79.16,15,6.0,mw,260,90,180,350,90,0,0,215,0,305,,,,,,,,,gmt,outer_rise
030301E,,-39.48,-75.45,15,5.8,mw,228,31,-43,357,69,-114,21,104,59,233,,,,,,,,,gmt,outer_rise
030302A,,-45.92,-76.42,15,5.9,mw,258,83,-176,168,86,-7,2,213,8,123,,,,,,,,,gmt,outer_rise
031388A,,-33.82,-73.07,15,5.8,mw,38,28,138,166,72,68,58,47,24,273,,,,,,,,,gmt,outer_rise
031793A,,-38.67,-75.37,15,5.6,mw,224,30,-37,348,72,-115,24,96,56,226,,,,,,,,,gmt,outer_rise
032980B,,-43.38,-75.86,15,6.1,mw,185,14,-119,34,78,-83,32,119,57,314,,,,,,,,,gmt,outer_rise
033085A,,-45.34,-76.85,10,5.4,mw,325,26,-81,135,64,-94,19,228,70,36,,,,,,,,,gmt,outer_rise
041389A,,-39.96,-75.07,15,5.8,mw,204,34,-51,339,64,-113,16,86,63,212,,,,,,,,,gmt,outer_rise
042885B,,-39.99,-75.65,10,5.9,mw,46,27,-101,239,64,-84,18,324,71,160,,,,,,,,,gmt,outer_rise
042894B,,-39.95,-75.72,15,5.5,mw,225,51,-44,346,57,-132,4,104,56,200,,,,,,,,,gmt,outer_rise
050898E,,-45.15,-78.08,15,5.3,mw,158,55,-17,258,76,-144,14,24,35,124,,,,,,,,,gmt,outer_rise
051891A,,-40.59,-75.45,15,5.4,mw,242,61,-27,346,67,-149,4,113,39,206,,,,,,,,,gmt,outer_rise
052584B,,-43.14,-75.86,10,5.4,mw,185,27,-98,14,63,-86,18,101,71,293,,,,,,,,,gmt,outer_rise
053076A,,-42.06,-75.94,15,6.1,mw,187,44,-101,23,47,-79,2,105,82,4,,,,,,,,,gmt,outer_rise
060182A,,-41.69,-75.87,10,6.4,mw,160,33,-130,25,65,-67,17,98,63,331,,,,,,,,,gmt,outer_rise
060193C,,-46.0,-77.64,15,5.9,mw,172,73,16,77,75,162,23,34,1,125,,,,,,,,,gmt,outer_rise
060384A,,-45.29,-76.55,10,5.4,mw,320,61,-161,221,73,-30,8,272,33,177,,,,,,,,,gmt,outer_rise
060391B,,-40.77,-75.75,15,5.6,mw,345,46,-146,229,66,-49,12,292,51,187,,,,,,,,,gmt,outer_rise
060481A,,-34.76,-78.12,26,5.1,mw,207,42,-41,330,64,-124,12,84,57,193,,,,,,,,,gmt,outer_rise
060582A,,-43.44,-76.07,23,5.3,mw,191,29,-87,8,61,-91,16,99,74,273,,,,,,,,,gmt,outer_rise
062003C,,-45.72,-77.06,15,5.3,mw,172,36,-70,327,56,-104,10,68,74,199,,,,,,,,,gmt,outer_rise
070497E,,-45.63,-76.92,15,5.2,mw,264,90,-180,354,90,0,0,39,0,129,,,,,,,,,gmt,outer_rise
071802D,,-44.72,-79.75,15,5.2,mw,246,34,42,119,68,117,58,66,19,190,,,,,,,,,gmt,outer_rise
072497A,,-30.63,-72.63,15,5.7,mw,0,31,91,179,59,89,76,87,14,269,,,,,,,,,gmt,outer_rise
072997A,,-30.87,-72.96,42,5.2,mw,340,46,65,194,49,114,72,172,2,267,,,,,,,,,gmt,outer_rise
080485B,,-45.37,-76.14,10,5.8,mw,199,24,-64,352,68,-101,23,89,65,242,,,,,,,,,gmt,outer_rise
081299C,,-45.37,-76.72,15,5.5,mw,6,40,-20,111,77,-128,23,230,44,344,,,,,,,,,gmt,outer_rise
082299A,,-40.88,-75.44,15,6.4,mw,202,45,-84,14,46,-96,0,108,86,200,,,,,,,,,gmt,outer_rise
091795B,,-35.61,-74.47,15,5.6,mw,184,42,-124,46,56,-63,8,118,67,9,,,,,,,,,gmt,outer_rise
092999E,,-30.94,-72.6,15,5.7,mw,352,31,87,175,59,92,76,91,14,264,,,,,,,,,gmt,outer_rise
100395J,,-30.86,-72.65,23,5.7,mw,9,41,104,171,51,79,80,26,5,269,,,,,,,,,gmt,outer_rise
100998B,,-47.21,-76.5,15,5.1,mw,19,46,138,142,61,52,56,0,9,257,,,,,,,,,gmt,outer_rise
102301I,,-43.39,-76.47,29,5.1,mw,232,45,-27,342,71,-132,16,101,47,209,,,,,,,,,gmt,outer_rise
103102F,,-40.56,-75.39,15,5.1,mw,244,43,-61,27,53,-114,5,134,70,239,,,,,,,,,gmt,outer_rise
110404C,,-46.0,-76.9,18,5.0,mw,88,61,-158,347,71,-31,6,39,35,305,,,,,,,,,gmt,outer_rise
110404D,,-45.94,-76.79,19,5.2,mw,82,73,-172,349,82,-17,6,37,18,305,,,,,,,,,gmt,outer_rise
110597B,,-44.54,-78.73,15,5.5,mw,80,75,-173,349,84,-15,6,35,15,303,,,,,,,,,gmt,outer_rise
110698A,,-44.52,-79.34,15,5.9,mw,256,69,171,349,82,22,21,214,9,121,,,,,,,,,gmt,outer_rise
111203C,,-40.56,-75.52,22,5.5,mw,216,33,-83,27,57,-95,12,121,77,283,,,,,,,,,gmt,outer_rise
112099B,,-30.79,-72.66,32,5.2,mw,11,40,106,171,52,77,78,30,6,270,,,,,,,,,gmt,outer_rise
112683D,,-45.11,-79.94,15,5.8,mw,257,90,180,347,90,0,0,212,0,302,,,,,,,,,gmt,outer_rise
112883A,,-44.6,-77.97,10,5.5,mw,133,18,-142,7,79,-76,33,84,54,294,,,,,,,,,gmt,outer_rise
112886A,,-45.53,-77.17,15,5.2,mw,260,90,180,350,90,0,0,215,0,305,,,,,,,,,gmt,outer_rise
112987A,,-45.87,-76.57,15,5.4,mw,154,37,-95,340,53,-86,8,68,81,268,,,,,,,,,gmt,outer_rise
121083B,,-44.73,-78.32,15,5.6,mw,258,90,180,348,90,0,0,213,0,303,,,,,,,,,gmt,outer_rise
122000C,,-39.36,-75.39,15,6.4,mw,206,43,-72,3,50,-106,3,103,77,209,,,,,,,,,gmt,outer_rise
122698A,,-40.9,-75.74,15,5.5,mw,187,18,-89,6,72,-90,27,96,63,275,,,,,,,,,gmt,outer_rise
