id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
201003131034A,2010-03-13T10:34:00,-37.78,-73.95,20,5.8,mw,7,19,102,175,71,86,63,78,26,268,,,,,,,,,gmt,subduction_intraslab
201003131522A,2010-03-13T15:22:00,-34.57,-72.07,16,5.2,mw,10,29,-75,172,62,-99,17,269,72,64,,,,,,,,,gmt,subduction_intraslab
201003132020A,2010-03-13T20:20:00,-37.11,-74.29,15,5.3,mw,346,12,79,177,79,92,57,90,33,265,,,,,,,,,gmt,subduction_intraslab
201003140731A,2010-03-14T07:31:00,-34.42,-72.1,16,5.2,mw,341,34,-116,191,59,-73,13,270,70,138,,,,,,,,,gmt,subduction_intraslab
201003141352A,2010-03-14T13:52:00,-38.71,-73.85,19,5.5,mw,281,25,-26,35,79,-113,31,143,51,279,,,,,,,,,gmt,subduction_intraslab
201003142004A,2010-03-14T20:04:00,-38.68,-73.85,13,5.4,mw,228,23,-60,15,71,-102,24,115,63,267,,,,,,,,,gmt,subduction_intraslab
201003151108A,2010-03-15T11:08:00,-35.96,-73.85,12,6.2,mw,21,15,103,187,76,87,59,93,30,280,,,,,,,,,gmt,subduction_intraslab
201003160304A,2010-03-16T03:04:00,-36.68,-73.76,17,5.9,mw,19,14,112,177,77,85,58,79,32,271,,,,,,,,,gmt,subduction_intraslab
201003171829A,2010-03-17T18:29:00,-35.47,-73.56,20,5.1,mw,27,24,106,190,67,83,67,87,22,285,,,,,,,,,gmt,subduction_intraslab
201003180157A,2010-03-18T01:57:00,-36.65,-72.98,25,5.2,mw,340,8,63,188,83,94,52,101,38,274,,,,,,,,,gmt,subduction_intraslab
201003180318A,2010-03-18T03:18:00,-34.49,-72.42,31,5.1,mw,35,21,-54,177,73,-103,27,277,60,69,,,,,,,,,gmt,subduction_intraslab
201003190255A,2010-03-19T02:55:00,-33.63,-72.65,17,5.2,mw,13,18,99,184,72,87,63,89,27,276,,,,,,,,,gmt,subduction_intraslab
201003190854A,2010-03-19T08:54:00,-35.67,-73.33,15,5.5,mw,27,10,118,178,81,85,54,83,36,273,,,,,,,,,gmt,subduction_intraslab
201003191420A,2010-03-19T14:20:00,-33.37,-72.59,15,5.2,mw,20,16,110,178,75,84,60,81,30,274,,,,,,,,,gmt,subduction_intraslab
201003211831A,2010-03-21T18:31:00,-36.56,-73.57,21,5.5,mw,11,25,113,166,67,79,66,57,21,264,,,,,,,,,gmt,subduction_intraslab
201003240005A,2010-03-24T00:05:00,-37.28,-74.18,16,5.1,mw,12,14,106,176,77,86,58,80,31,269,,,,,,,,,gmt,subduction_intraslab
201003251110A,2010-03-25T11:10:00,-35.85,-73.69,15,5.3,mw,21,14,103,187,76,87,59,93,31,280,,,,,,,,,gmt,subduction_intraslab
201003281436A,2010-03-28T14:36:00,-36.16,-73.92,12,5.2,mw,6,16,92,183,74,89,61,93,29,274,,,,,,,,,gmt,subduction_intraslab
201003282138A,2010-03-28T21:38:00,-35.56,-73.44,12,6.0,mw,28,16,112,185,75,84,59,87,30,280,,,,,,,,,gmt,subduction_intraslab
201003282143A,2010-03-28T21:43:00,-35.45,-73.44,17,5.6,mw,7,16,86,191,74,91,61,103,29,280,,,,,,,,,gmt,subduction_intraslab
201003290735A,2010-03-29T07:35:00,-34.92,-72.01,53,5.3,mw,36,29,127,175,67,71,63,56,20,279,,,,,,,,,gmt,subduction_intraslab
201004011253A,2010-04-01T12:53:00,-34.87,-72.22,12,5.1,mw,195,58,-142,82,59,-39,0,139,48,49,,,,,,,,,gmt,subduction_intraslab
201004011943A,2010-04-01T19:43:00,-34.28,-72.25,24,5.1,mw,352,16,89,173,74,90,61,83,29,263,,,,,,,,,gmt,subduction_intraslab
201004022258A,2010-04-02T22:58:00,-36.33,-73.2,30,6.0,mw,17,15,101,186,75,87,60,92,30,278,,,,,,,,,gmt,subduction_intraslab
201004162241A,2010-04-16T22:41:00,-37.69,-74.25,12,5.6,mw,360,15,90,180,75,90,60,90,30,270,,,,,,,,,gmt,subduction_intraslab
201004162315A,2010-04-16T23:15:00,-37.62,-74.24,12,5.7,mw,31,15,115,185,77,84,58,87,31,281,,,,,,,,,gmt,subduction_intraslab
201004180149A,2010-04-18T01:49:00,-37.41,-74.19,15,5.6,mw,4,19,93,180,71,89,64,89,26,272,,,,,,,,,gmt,subduction_intraslab
201004180252A,2010-04-18T02:52:00,-37.28,-74.22,22,5.1,mw,348,33,74,187,59,100,74,125,13,270,,,,,,,,,gmt,subduction_intraslab
201004190732A,2010-04-19T07:32:00,-37.69,-74.24,19,5.2,mw,353,20,93,170,70,89,65,78,25,261,,,,,,,,,gmt,subduction_intraslab
201004231003A,2010-04-23T10:03:00,-37.69,-73.32,29,6.0,mw,7,14,141,135,81,79,53,32,35,235,,,,,,,,,gmt,subduction_intraslab
201004290756A,2010-04-29T07:56:00,-36.97,-74.28,19,5.1,mw,4,27,92,182,63,89,72,89,18,273,,,,,,,,,gmt,subduction_intraslab
201005021452A,2010-05-02T14:52:00,-34.48,-72.22,15,5.9,mw,26,25,-36,149,76,-110,28,256,55,34,,,,,,,,,gmt,subduction_intraslab
201005031839A,2010-05-03T18:39:00,-37.36,-74.33,12,5.4,mw,6,16,92,183,74,89,61,93,29,274,,,,,,,,,gmt,subduction_intraslab
201005032309A,2010-05-03T23:09:00,-38.31,-74.08,15,6.2,mw,357,14,89,178,76,90,59,88,31,268,,,,,,,,,gmt,subduction_intraslab
201005041355A,2010-05-04T13:55:00,-34.17,-72.48,23,5.2,mw,25,26,107,187,66,82,69,80,20,282,,,,,,,,,gmt,subduction_intraslab
201005051524A,2010-05-05T15:24:00,-35.67,-73.32,16,5.4,mw,19,14,106,182,76,86,58,87,31,276,,,,,,,,,gmt,subduction_intraslab
201005090329A,2010-05-09T03:29:00,-34.13,-72.45,23,5.0,mw,14,22,112,170,70,81,64,66,24,267,,,,,,,,,gmt,subduction_intraslab
201005132039A,2010-05-13T20:39:00,-34.26,-72.51,30,5.2,mw,11,27,117,161,67,77,66,48,20,261,,,,,,,,,gmt,subduction_intraslab
201005211852A,2010-05-21T18:52:00,-34.75,-72.09,12,5.3,mw,25,38,-91,206,52,-90,7,296,83,121,,,,,,,,,gmt,subduction_intraslab
201005242357A,2010-05-24T23:57:00,-36.4,-73.71,21,5.2,mw,19,19,111,177,73,83,62,76,27,272,,,,,,,,,gmt,subduction_intraslab
201005251309A,2010-05-25T13:09:00,-37.83,-73.49,48,5.3,mw,348,26,99,158,64,86,70,59,19,251,,,,,,,,,gmt,subduction_intraslab
201006011605A,2010-06-01T16:05:00,-36.93,-73.85,22,5.1,mw,355,21,81,184,70,93,66,101,24,272,,,,,,,,,gmt,subduction_intraslab
201006241324A,2010-06-24T13:24:00,-37.07,-74.16,20,5.0,mw,12,24,102,178,66,85,68,79,21,273,,,,,,,,,gmt,subduction_intraslab
201006270715A,2010-06-27T07:15:00,-37.0,-74.3,15,5.0,mw,6,22,92,184,68,89,67,92,23,274,,,,,,,,,gmt,subduction_intraslab
201006290140A,2010-06-29T01:40:00,-37.91,-73.72,19,5.5,mw,330,27,126,110,69,73,63,354,22,213,,,,,,,,,gmt,subduction_intraslab
201007030005A,2010-07-03T00:05:00,-34.63,-72.06,56,5.1,mw,43,39,124,183,58,66,67,45,10,289,,,,,,,,,gmt,subduction_intraslab
201007141505A,2010-07-14T15:05:00,-38.39,-73.8,23,5.8,mw,353,14,88,175,76,91,59,86,31,265,,,,,,,,,gmt,subduction_intraslab
201007150036A,2010-07-15T00:36:00,-34.27,-72.35,23,5.4,mw,18,24,121,164,70,77,63,54,24,265,,,,,,,,,gmt,subduction_intraslab
201008050601A,2010-08-05T06:01:00,-37.7,-73.69,18,5.9,mw,6,13,97,179,78,88,58,87,32,270,,,,,,,,,gmt,subduction_intraslab
201008050627A,2010-08-05T06:27:00,-37.57,-73.76,30,5.4,mw,355,30,86,180,60,92,75,96,15,268,,,,,,,,,gmt,subduction_intraslab
201009060320A,2010-09-06T03:20:00,-37.79,-73.56,27,5.0,mw,19,28,114,173,65,78,68,59,19,271,,,,,,,,,gmt,subduction_intraslab
201009090728A,2010-09-09T07:28:00,-37.27,-74.16,12,6.2,mw,11,14,99,182,76,88,59,89,31,274,,,,,,,,,gmt,subduction_intraslab
201009131644A,2010-09-13T16:44:00,-31.82,-70.46,126,5.1,mw,260,68,15,165,76,158,26,121,5,213,,,,,,,,,gmt,subduction_intraslab
201009140323A,2010-09-14T03:23:00,-37.32,-74.27,13,5.2,mw,359,19,83,186,71,92,64,100,26,275,,,,,,,,,gmt,subduction_intraslab
201009140337A,2010-09-14T03:37:00,-37.32,-74.35,16,5.1,mw,352,19,76,187,72,95,63,104,26,273,,,,,,,,,gmt,subduction_intraslab
201009170652A,2010-09-17T06:52:00,-37.65,-74.17,16,5.1,mw,341,16,71,181,75,95,60,98,30,266,,,,,,,,,gmt,subduction_intraslab
201009200542A,2010-09-20T05:42:00,-33.84,-72.36,22,5.1,mw,348,22,78,182,69,95,66,99,23,267,,,,,,,,,gmt,subduction_intraslab
201009231636A,2010-09-23T16:36:00,-35.05,-72.13,53,5.4,mw,19,30,113,173,63,78,70,56,17,272,,,,,,,,,gmt,subduction_intraslab
201009260529A,2010-09-26T05:29:00,-40.58,-73.14,74,5.0,mw,126,43,103,289,48,78,81,134,3,27,,,,,,,,,gmt,subduction_intraslab
201009291629A,2010-09-29T16:29:00,-34.49,-71.75,57,5.0,mw,62,42,134,190,61,58,60,51,11,302,,,,,,,,,gmt,subduction_intraslab
