id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
201102120117A,2011-02-12T01:17:00,-37.35,-74.0,14,6.0,mw,12,15,98,183,75,88,60,91,30,275,,,,,,,,,gmt,subduction_interface
201102131035A,2011-02-13T10:35:00,-36.83,-73.74,14,5.9,mw,12,18,97,184,72,88,63,91,27,276,,,,,,,,,gmt,subduction_interface
201102131344A,2011-02-13T13:44:00,-36.75,-73.74,18,5.6,mw,9,15,95,184,75,89,60,92,30,275,,,,,,,,,gmt,subduction_interface
201102141021A,2011-02-14T10:21:00,-35.6,-73.41,15,5.2,mw,13,18,107,175,73,85,62,77,28,270,,,,,,,,,gmt,subduction_interface
201102190626A,2011-02-19T06:26:00,-34.05,-72.33,21,5.2,mw,360,21,94,176,69,89,66,83,24,267,,,,,,,,,gmt,subduction_interface
201102240436A,2011-02-24T04:36:00,-36.29,-73.82,20,5.1,mw,24,27,139,152,73,69,57,34,25,258,,,,,,,,,gmt,subduction_interface
201102280129A,2011-02-28T01:29:00,-37.46,-73.69,25,5.8,mw,6,16,97,179,74,88,61,86,29,270,,,,,,,,,gmt,subduction_interface
201103030758A,2011-03-03T07:58:00,-37.45,-73.83,23,5.2,mw,1,22,97,173,68,87,67,78,23,266,,,,,,,,,gmt,subduction_interface
201104220512A,2011-04-22T05:12:00,-38.1,-74.31,14,5.3,mw,359,19,88,182,71,91,64,92,26,271,,,,,,,,,gmt,subduction_interface
201106011255A,2011-06-01T12:55:00,-37.74,-74.41,12,6.3,mw,1,17,88,183,73,91,62,94,28,273,,,,,,,,,gmt,subduction_interface
201106290536A,2011-06-29T05:36:00,-33.98,-72.54,19,5.5,mw,13,18,100,183,72,87,63,88,27,275,,,,,,,,,gmt,subduction_interface
201107160026A,2011-07-16T00:26:00,-33.96,-72.19,24,5.9,mw,14,21,108,174,70,83,64,74,25,270,,,,,,,,,gmt,subduction_interface
201107251115A,2011-07-25T11:15:00,-37.9,-74.03,20,5.4,mw,3,15,95,178,75,89,60,86,30,269,,,,,,,,,gmt,subduction_interface
201107281605A,2011-07-28T16:05:00,-35.91,-73.57,13,5.2,mw,24,19,103,191,71,86,63,93,26,284,,,,,,,,,gmt,subduction_interface
201107281950A,2011-07-28T19:50:00,-35.86,-73.53,13,5.6,mw,344,17,61,194,75,98,59,116,30,277,,,,,,,,,gmt,subduction_interface
201108061322A,2011-08-06T13:22:00,-36.06,-73.46,15,5.5,mw,49,9,131,188,83,84,51,91,38,283,,,,,,,,,gmt,subduction_interface
201109031620A,2011-09-03T16:20:00,-38.27,-74.17,18,5.8,mw,4,16,93,181,74,89,61,90,29,272,,,,,,,,,gmt,subduction_interface
